"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.646958307E-3,1.359846745E-1,3.859805524E-2,6.348403895E-1,6.503875473E-1
1.559295831E-2,5.194534823E-1,-4.458794296E-2,6.199792524E-1,8.100581944E-1
2.553895832E-2,1.411964001E0,8.794095397E-2,5.160868017E-1,1.505895594E0
3.548495832E-2,2.045409830E0,-1.271371794E-1,7.069435751E-1,2.167864030E0
4.543095833E-2,2.322193922E0,-3.924271077E-1,8.862544365E-1,2.516352633E0
5.537695833E-2,2.114390894E0,-4.666703743E-1,9.841518831E-1,2.378441721E0
6.532295834E-2,1.566994738E0,-5.018787986E-1,1.043920806E0,1.948621432E0
7.526895835E-2,5.368508492E-1,-6.158609122E-1,1.045151279E0,1.326587613E0
8.521495829E-2,-3.918076683E-1,-4.873718566E-1,8.457589598E-1,1.051833064E0
9.516095830E-2,-7.890892075E-1,-5.851659536E-2,5.840363447E-1,9.834553478E-1
1.051059583E-1,-7.635689617E-1,2.450930607E-1,5.358014202E-1,9.644642708E-1
1.150519583E-1,-7.521388245E-1,2.908726662E-1,6.423949921E-1,1.031014571E0
1.249979583E-1,-9.331498370E-1,2.310609126E-1,6.497801717E-1,1.160332726E0
1.349439583E-1,-1.349385637E0,-1.536706746E-1,6.332944588E-1,1.498505304E0
1.448899583E-1,-1.607449869E0,-7.511286449E-1,7.792901511E-1,1.937880920E0
1.548359583E-1,-2.496812539E0,-1.655487084E0,1.391679571E0,3.303253301E0
1.647819583E-1,-3.051597822E0,-1.959387932E0,1.978239355E0,4.130966144E0
1.747279583E-1,-3.672954825E0,-1.799548445E0,2.253620993E0,4.669880012E0
1.846739583E-1,-3.159844694E0,-9.448504078E-1,2.059345937E0,3.888221505E0
1.946199583E-1,-1.871175813E0,4.870362264E-1,7.922218533E-1,2.089525945E0
2.045659583E-1,-1.084366508E0,1.713745233E0,-2.225063630E-1,2.040167280E0
2.145119583E-1,7.702540834E-2,2.964720184E0,-7.586528420E-2,2.966690787E0
2.244569583E-1,2.390100853E0,3.907392504E0,-6.112374457E-1,4.621029051E0
2.344029583E-1,4.743932013E0,4.075150875E0,-1.538784846E0,6.440466164E0
2.443489583E-1,4.260574562E0,3.154785098E0,-2.011255074E0,5.670124477E0
2.542949583E-1,2.378147390E0,1.886897076E0,-1.895347033E0,3.578869369E0
2.642409583E-1,1.705548314E0,6.095196068E-1,-1.344487571E0,2.255671969E0
2.741869583E-1,8.394002590E-1,-5.475338584E-1,-2.845874941E-1,1.041813881E0
2.841329583E-1,6.583277046E-1,-1.273558652E0,6.527058260E-1,1.575237094E0
2.940789583E-1,7.353605316E-1,-1.576095929E0,9.140098536E-1,1.964751257E0
3.040249583E-1,1.187643393E0,-1.578509075E0,6.914274037E-1,2.092906970E0
3.139709583E-1,1.828394368E0,-1.277119022E0,1.094284482E-1,2.232942799E0
3.239169583E-1,1.845475108E0,-6.739167470E-1,-4.001622431E-1,2.005011715E0
3.338629583E-1,1.546660607E0,4.480136633E-2,-5.045432286E-1,1.627491956E0
3.438079583E-1,1.328694388E0,2.728509629E-1,-2.929919896E-1,1.387703401E0
3.537539583E-1,1.216963160E0,5.965879047E-1,2.231100149E-1,1.373569998E0
3.636999583E-1,8.038488223E-1,4.768527156E-1,7.240126209E-1,1.182267193E0
3.736459583E-1,2.608393932E-1,1.179658216E-1,1.352023609E0,1.381998901E0
3.835919583E-1,5.261182118E-1,1.046300769E-2,1.494478154E0,1.584416233E0
3.935379583E-1,-2.878157419E-1,-5.815184605E-1,1.516863488E0,1.649811039E0
4.034839583E-1,-5.347875861E-1,-9.780456358E-1,1.652959918E0,1.993701963E0
4.134299583E-1,-9.834626426E-1,-1.153253360E0,1.682071889E0,2.264190345E0
4.233759583E-1,-4.260901860E-1,-6.707335228E-1,1.678373086E0,1.856979408E0
4.333219583E-1,-3.646922290E-1,1.894375080E-1,1.213134768E0,1.280852434E0
4.432679583E-1,-5.544225363E-1,7.953002661E-1,1.144118840E0,1.499631548E0
4.532139583E-1,-1.680228700E0,6.613265222E-1,1.822756044E0,2.565728132E0
4.631589583E-1,-1.899327379E0,7.052812117E-1,1.674352541E0,2.628368793E0
4.731049583E-1,-1.173267648E0,1.473557986E0,1.278729930E0,2.276637948E0
4.830509583E-1,-9.268233689E-1,1.979244491E0,1.011602222E0,2.408266881E0
4.929969583E-1,-5.548160173E-1,2.503147413E0,5.451581347E-1,2.621214446E0
