"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.073483337E-2,2.067561129E0,-1.272480133E0,-1.609095275E-1,2.433085816E0
2.068083338E-2,2.200890510E0,-1.200351220E0,-1.029826823E0,2.710222385E0
3.062683338E-2,1.965135160E0,-1.229276226E0,-1.813023938E0,2.942776247E0
4.057283333E-2,1.598762368E0,-1.381742959E0,-2.471001175E0,3.251323042E0
5.051883333E-2,1.323709344E0,-1.576345898E0,-2.918837668E0,3.571650339E0
6.046483334E-2,1.144595899E0,-1.717245961E0,-3.309809988E0,3.900496843E0
7.041083334E-2,1.062062816E0,-1.744891012E0,-3.923026789E0,4.422981037E0
8.035683335E-2,1.094937616E0,-1.752075486E0,-4.650197638E0,5.088515988E0
9.030283336E-2,8.814360385E-1,-1.719442760E0,-5.354152116E0,5.692131216E0
1.002488334E-1,5.640705152E-1,-1.847028421E0,-5.987576895E0,6.291324710E0
1.101948334E-1,3.476097712E-1,-1.943502801E0,-6.430104700E0,6.726387006E0
1.201408334E-1,3.127151596E-1,-1.949092739E0,-6.789151808E0,7.070313681E0
1.300868334E-1,4.439130110E-1,-1.858158011E0,-7.139063226E0,7.390266145E0
1.400328334E-1,1.349809634E-1,-1.535790487E0,-7.285042473E0,7.446389468E0
1.499788333E-1,-1.576052660E-1,-1.411688012E0,-6.922676486E0,7.066905418E0
1.599248333E-1,1.499615810E0,-2.741465889E0,-8.125356944E0,8.705510225E0
1.698708333E-1,1.795756964E0,-2.043963813E0,-8.269879650E0,8.705942830E0
1.798168333E-1,1.388113208E0,-1.341474062E0,-6.702529401E0,6.974977513E0
1.897628334E-1,1.496521756E0,-1.973221275E0,-6.367533646E0,6.832178591E0
1.997088334E-1,1.736326887E0,-1.899931104E0,-6.025227116E0,6.551941015E0
2.096548334E-1,1.947066094E0,-1.679459499E0,-5.303256197E0,5.893740483E0
2.196008334E-1,1.720498182E0,-1.664766616E0,-4.657789078E0,5.237037423E0
2.295468334E-1,1.371647449E0,-1.848243472E0,-4.299750030E0,4.877014556E0
2.394928334E-1,1.179584395E0,-1.997987449E0,-3.796469654E0,4.449331975E0
2.494388333E-1,1.000848461E0,-2.474881972E0,-3.039637050E0,4.045507609E0
2.593848333E-1,4.691592416E-1,-3.290158958E0,-2.382031696E0,4.088927899E0
2.693308333E-1,2.991928156E-1,-4.058647402E0,-2.301085181E0,4.675160755E0
2.792768333E-1,2.131924063E-1,-4.618901585E0,-2.621317887E0,5.315167948E0
2.892228334E-1,-1.279424287E0,-5.932611898E0,-3.073225211E0,6.802758531E0
2.991688334E-1,-4.599815689E0,-8.835811772E0,-3.845437746E0,1.067788675E1
3.091148334E-1,-5.806890914E0,-9.127301905E0,-4.997104756E0,1.191631982E1
3.190608334E-1,-3.268805511E0,-5.137735555E0,-7.682783530E0,9.803396293E0
3.290068334E-1,-3.938295039E0,-6.671909872E0,-1.133629519E1,1.373084622E1
3.389528334E-1,-7.561880652E0,-8.782059488E0,-1.432156425E1,1.842318676E1
3.488988333E-1,-8.672490268E0,-8.821862655E0,-1.614447817E1,2.033916231E1
3.588448333E-1,-7.516748918E0,-1.048764552E1,-1.807623333E1,2.220906198E1
3.687908333E-1,-7.326968763E0,-1.258627436E1,-1.765349367E1,2.288546727E1
3.787368333E-1,-7.117068340E0,-1.370836791E1,-1.429896944E1,2.104833816E1
3.886828333E-1,-4.811572019E0,-1.441909931E1,-9.965568681E0,1.817619898E1
3.986288334E-1,-1.470453699E0,-1.531420863E1,-6.727182432E0,1.679113467E1
4.085748334E-1,3.096228742E0,-1.543619324E1,-3.501508030E0,1.612833695E1
4.185218334E-1,7.827157132E0,-1.372544997E1,-1.455131071E0,1.586725471E1
4.284678334E-1,9.229926386E0,-1.270684161E1,-6.058592498E-1,1.571694723E1
4.384138334E-1,7.245660306E0,-1.362762020E1,5.972363609E-1,1.544565690E1
4.483598333E-1,5.604763194E0,-1.366459449E1,8.708053619E-1,1.479502669E1
4.583058333E-1,3.642925864E0,-1.486543483E1,-8.549740255E-2,1.530553401E1
4.682518333E-1,3.144520311E0,-1.664215457E1,-5.148420757E-1,1.694444980E1
4.781978333E-1,5.746788554E0,-1.735706205E1,-2.613740297E-1,1.828555436E1
4.881438334E-1,1.131334487E1,-1.752162726E1,3.854285753E-1,2.086019533E1
4.980898334E-1,1.717726251E1,-1.637869073E1,1.192961801E0,2.376432232E1
5.080358334E-1,2.000830657E1,-1.576128440E1,2.318064326E0,2.557584485E1
5.179818334E-1,2.276845666E1,-1.517525072E1,4.278241632E0,2.769466021E1
5.279278334E-1,2.408297856E1,-1.374662157E1,5.376392001E0,2.824650513E1
5.378738334E-1,2.249806737E1,-1.288817663E1,5.276122777E0,2.645950876E1
5.478198333E-1,1.942079940E1,-1.254979475E1,4.887411575E0,2.363369606E1
5.577658333E-1,1.708435961E1,-1.206559735E1,4.320112374E0,2.135690412E1
5.677118333E-1,1.614197790E1,-1.142406307E1,3.666900033E0,2.011265331E1
5.776578333E-1,1.572897736E1,-1.044107361E1,3.552265370E0,1.921029246E1
5.876038334E-1,1.592497135E1,-9.159651040E0,3.772280600E0,1.875457333E1
5.975498334E-1,1.638782525E1,-7.829332296E0,4.136441975E0,1.862711499E1
6.074958334E-1,1.677393678E1,-6.162162475E0,4.583986399E0,1.844858078E1
6.174418334E-1,1.680583919E1,-4.367174858E0,4.928622751E0,1.804992436E1
6.273878334E-1,1.663779606E1,-2.632568514E0,5.139231273E0,1.761131377E1
6.373338334E-1,1.628837931E1,-6.352877015E-1,5.413149937E0,1.717606135E1
6.472798333E-1,1.602220002E1,1.204870825E0,5.702127521E0,1.704924824E1
6.572258333E-1,1.573890009E1,2.495132634E0,5.577302331E0,1.688327468E1
6.671718333E-1,1.484828143E1,4.169650066E0,6.092271291E0,1.658231626E1
6.771178333E-1,1.433072216E1,5.288159856E0,6.400524806E0,1.656203339E1
6.870638333E-1,1.364255165E1,6.202363252E0,6.385568798E0,1.628999737E1
6.970108334E-1,1.276194109E1,6.828059181E0,5.972346067E0,1.565753653E1
7.069565834E-1,1.181911616E1,7.128282130E0,5.270450978E0,1.477435503E1
7.169025834E-1,1.085742694E1,7.298830208E0,4.481544642E0,1.382898711E1
7.268485834E-1,9.690533198E0,7.428043149E0,3.759719611E0,1.277567025E1
7.367945834E-1,8.610227947E0,7.326280546E0,3.188664451E0,1.174640340E1
7.467405833E-1,7.878154793E0,7.008175642E0,2.640619838E0,1.086980781E1
7.566865833E-1,7.177826757E0,6.860527015E0,2.287976016E0,1.018935043E1
7.666325833E-1,6.684321756E0,6.846623506E0,1.926382885E0,9.760500079E0
7.765785833E-1,6.038876272E0,6.864371560E0,2.054396123E0,9.370601206E0
7.865245834E-1,6.518278373E0,5.830423034E0,1.533824214E0,8.878873939E0
7.964705834E-1,6.601298311E0,5.248902234E0,5.656165190E-1,8.452694014E0
8.064165834E-1,6.218339015E0,5.678790114E0,2.342640173E-1,8.424445198E0
8.163625834E-1,6.296812742E0,5.657585771E0,2.294061506E-1,8.468220276E0
8.263085834E-1,6.240486513E0,5.639433675E0,6.373545460E-1,8.435229986E0
8.362545834E-1,6.572541119E0,5.451536908E0,8.678881860E-1,8.583168490E0
8.462005833E-1,6.893316447E0,5.018886804E0,8.968609934E-1,8.573878704E0
8.561465833E-1,7.634853319E0,4.802102453E0,8.333383043E-1,9.057904057E0
8.660925833E-1,8.216327925E0,4.624420187E0,8.577350807E-1,9.467260222E0
8.760385833E-1,8.726273543E0,4.331103385E0,1.485300218E0,9.854563573E0
8.859845834E-1,1.096529287E1,2.576794263E0,1.177973049E0,1.132541994E1
8.959305834E-1,1.224634531E1,1.256188914E0,9.694731791E-1,1.234871906E1
9.058765834E-1,1.313620617E1,2.695127875E-1,1.250443439E0,1.319833923E1
9.158225834E-1,1.370559984E1,-8.511938006E-1,1.745056196E0,1.384244267E1
9.257685834E-1,1.377879879E1,-2.298700102E0,2.718570532E0,1.423130156E1
9.357145834E-1,1.468519791E1,-4.923370197E0,2.621387469E0,1.570879639E1
9.456605834E-1,1.341867931E1,-6.006599641E0,3.020917189E0,1.500886852E1
9.556065833E-1,1.147650207E1,-6.630290560E0,4.263806026E0,1.392303467E1
9.655535833E-1,1.055768113E1,-8.175934190E0,5.017613865E0,1.426488624E1
9.754995834E-1,9.635233741E0,-9.005673387E0,5.489394121E0,1.428542370E1
9.854455834E-1,9.138077738E0,-9.810698158E0,5.650267396E0,1.454921939E1
9.953915834E-1,9.243233480E0,-1.074501890E1,5.472748268E0,1.519354369E1
1.005337583E0,1.000441407E1,-1.195073582E1,5.003851858E0,1.636908430E1
1.015283583E0,1.074956452E1,-1.297410848E1,4.489185784E0,1.743655406E1
1.025229583E0,1.061636612E1,-1.396215578E1,3.631555953E0,1.791192961E1
1.035175583E0,9.613159917E0,-1.498711187E1,2.880308025E0,1.803669982E1
1.045121583E0,7.892621974E0,-1.555067704E1,1.962764114E0,1.754905927E1
1.055067583E0,6.006071053E0,-1.534134789E1,6.788709466E-1,1.648910884E1
1.065013583E0,4.992857339E0,-1.442881388E1,-4.857638723E-1,1.527597005E1
1.074959583E0,5.741478113E0,-1.345581497E1,-1.515240155E0,1.470780338E1
1.084905583E0,6.884591816E0,-1.311846688E1,-2.597688704E0,1.504126871E1
1.094851583E0,7.332020173E0,-1.317823478E1,-3.957958056E0,1.559133810E1
