"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.505916652E-3,9.410991266E-1,3.530185699E0,5.966819864E0,6.996486113E0
1.645191666E-2,6.162979916E-2,2.451924049E0,6.766585064E0,7.197388638E0
2.639791666E-2,-3.714676170E-1,1.891642091E0,7.317404473E0,7.567080428E0
3.634391667E-2,-5.742448166E-2,1.460036885E0,8.291176379E0,8.418943581E0
4.628991667E-2,5.302299008E-2,2.120279333E0,7.368831904E0,7.667990579E0
5.623591668E-2,-1.746515076E0,3.366420391E0,6.099829987E0,7.182689401E0
6.618191669E-2,-2.044799819E0,4.444825882E0,5.717550722E0,7.525162435E0
7.612791669E-2,-2.172560896E0,5.158123042E0,4.984205799E0,7.494568807E0
8.607391670E-2,-2.675742601E0,4.572190518E0,4.413909314E0,6.895441975E0
9.602091665E-2,-2.858747002E0,4.057927902E0,3.863911439E0,6.290391473E0
1.059669167E-1,-3.071520748E0,4.418398806E0,3.475102589E0,6.405686982E0
1.159129167E-1,-3.699707298E0,4.078775564E0,2.900906596E0,6.224106625E0
1.258589167E-1,-3.510733182E0,4.720378259E0,2.342900082E0,6.332171758E0
1.358049167E-1,-3.613694171E0,4.568022623E0,1.283600953E0,5.964331283E0
1.457509167E-1,-3.106891140E0,5.550667679E0,2.874482444E-1,6.367519982E0
1.556969167E-1,-2.505147160E0,6.143944305E0,-6.977248549E-2,6.635411225E0
1.656429167E-1,-1.525208342E0,6.309574875E0,-4.186875379E-1,6.504790146E0
1.755889167E-1,6.668384001E-2,5.392682344E0,-1.581759250E0,5.620269737E0
1.855349167E-1,1.717948358E0,1.889516628E0,-4.314910106E0,5.013987323E0
1.954819167E-1,3.576556458E0,-3.844906234E0,-1.299279852E1,1.401384578E1
2.054279167E-1,8.551575111E0,-1.056051118E1,-3.129320825E1,3.411625296E1
2.153739167E-1,1.217817029E1,-1.380611699E1,-2.420008426E1,3.040659099E1
2.253199167E-1,1.109461691E1,-1.331385276E1,-1.115314286E1,2.060926479E1
2.352659167E-1,7.168676450E0,-1.099975402E1,-3.791450112E0,1.366600177E1
2.452119167E-1,2.509450419E0,-7.951712181E0,-2.236126124E0,8.632921177E0
2.551579167E-1,-1.446604368E0,-4.281523089E0,-4.498477010E0,6.376550758E0
2.651039167E-1,-4.658926654E0,9.463595742E-1,-3.066665804E0,5.657352134E0
2.750499167E-1,-6.918475846E0,5.273796170E0,5.333838889E-1,8.715660185E0
2.849959166E-1,-8.507476580E0,7.905930237E0,2.656846154E0,1.191384582E1
2.949429167E-1,-8.905408841E0,7.437764729E0,4.069900661E0,1.229596447E1
3.048889167E-1,-8.828020357E0,6.426119238E-1,5.991003948E0,1.068826561E1
