"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.715425500E-2,-9.416830540E-2,-6.026477814E-1,1.297155619E0,1.433410171E0
3.396003100E-2,3.067637682E-1,-5.172824860E-2,-2.163536549E-1,3.789310295E-1
5.076891900E-2,5.502138138E-1,-2.959375381E-1,-7.668435574E-1,9.891224943E-1
6.757675100E-2,6.710737944E-1,1.955785751E-1,-7.676938772E-1,1.038241256E0
8.438356500E-2,2.561472654E-1,1.328004837E0,1.869246364E-1,1.365338452E0
1.011900740E-1,3.333888054E-1,9.862451553E-1,-2.158576250E-1,1.063213110E0
1.179859720E-1,3.072896004E-1,-2.928600311E-1,1.265903711E-1,4.429661594E-1
1.348074970E-1,5.550193787E-2,-4.408731461E-1,-1.098540425E-1,4.577308234E-1
1.516101900E-1,-2.009757757E-1,8.159589767E-1,1.283389330E-1,8.500889341E-1
1.684189360E-1,2.867366076E-1,1.439388275E0,9.135216475E-1,1.728750499E0
1.852264840E-1,1.248939276E0,3.821687698E-1,8.960957527E-1,1.583947563E0
2.020357900E-1,2.694959641E0,-4.168758392E-1,3.409605026E-1,2.748244348E0
2.188416370E-1,3.966455460E0,-1.017668724E0,1.087215662E0,4.236797899E0
2.356504050E-1,1.329135656E0,2.027511597E-3,2.664664268E0,2.977757775E0
2.524568620E-1,-2.230359793E0,9.221477509E-1,-2.915283442E0,3.784671561E0
2.692577550E-1,-5.376819611E0,1.862702370E0,-6.291074753E0,8.482774946E0
2.860759540E-1,-2.758887768E0,-4.172153473E-1,-2.667575836E0,3.860244967E0
3.028747710E-1,-2.817955971E0,-2.893865585E0,5.436258316E0,6.772609420E0
3.196866620E-1,-2.377987623E0,-2.846982002E0,3.016564369E0,4.781191510E0
3.364954900E-1,-9.163070917E-1,-9.714889526E-1,-2.775747299E0,3.080289360E0
3.533023440E-1,4.104071856E-1,-2.547616959E-1,-1.967315435E0,2.025751120E0
3.700890570E-1,1.748662591E0,-4.480638504E-1,1.919993162E-1,1.815336280E0
3.869163590E-1,1.511024952E0,-2.100286484E-1,-1.067698717E0,1.862065785E0
4.037026960E-1,1.253640771E0,-6.029605865E-2,-5.164297581E0,5.314623251E0
4.205336900E-1,-1.393380761E0,6.743736267E-1,-9.064555168E-2,1.550647075E0
4.373410120E-1,-5.731174946E-1,5.310878754E-1,-2.095813274E0,2.236727805E0
4.541478770E-1,-6.997700334E-1,3.033895493E-1,1.024518609E0,1.277247704E0
4.709608250E-1,-3.303515911E-1,-6.050529480E-1,1.185965180E0,1.371763337E0
4.877613010E-1,-3.387247920E-1,-4.652624130E-1,8.075007796E-1,9.915952333E-1
5.045651960E-1,-3.593751788E-1,1.517810822E-1,1.077610612E0,1.146050892E0
5.213725080E-1,-1.150601387E0,1.009427071E0,6.515297890E-1,1.663525662E0
5.381887520E-1,-1.949172258E0,6.595249176E-1,6.005975008E-1,2.143586473E0
5.549978040E-1,-2.443311691E0,1.011991501E-1,1.148342013E0,2.701611125E0
5.717963880E-1,-5.915031433E-1,-2.325660706E0,-9.450605512E-2,2.401563049E0
5.886052880E-1,6.165195704E-1,-2.026489258E0,-9.343684316E-1,2.315124070E0
6.054125090E-1,1.716629505E0,-1.568038940E0,-8.475663662E-1,2.474657900E0
6.222244600E-1,1.932840109E0,-7.015409470E-1,-1.324007511E0,2.445613722E0
6.390230640E-1,2.205491543E0,-3.226184845E-1,-9.452751279E-1,2.421119720E0
6.558393700E-1,2.130425453E0,5.162658691E-1,2.526434958E-1,2.206597334E0
6.726447080E-1,1.042217016E0,1.932323456E0,1.057744980E0,2.436988857E0
6.894491420E-1,2.371796370E-1,1.654160500E0,7.484559417E-1,1.831034526E0
7.062552550E-1,-2.965223789E-1,8.061800003E-1,8.206781745E-1,1.188008577E0
7.230656490E-1,-7.299260497E-1,5.456237793E-1,1.309336066E0,1.595261195E0
7.398726660E-1,-3.713097572E-1,8.120918274E-2,1.180466175E0,1.240147676E0
7.566813940E-1,-2.581965923E-2,5.212430954E-1,7.320080996E-1,8.989977070E-1
7.734854400E-1,-1.327872276E-3,1.555541992E0,8.181645870E-1,1.757585259E0
7.902919990E-1,-2.196079493E-1,1.975115776E0,4.653997719E-1,2.041055347E0
8.071004720E-1,-5.859739184E-1,1.959367275E0,-6.955432892E-2,2.046295032E0
8.239080490E-1,-5.199033618E-1,8.037471771E-1,-8.325839639E-1,1.268662716E0
8.407169790E-1,1.986705065E-1,-5.881900787E-1,-8.313322067E-1,1.037569649E0
8.575237110E-1,3.337455988E-1,-5.147171021E-2,-4.889754653E-1,5.942494992E-1
8.743311560E-1,-1.692886233E0,2.438780785E0,-5.182254314E-2,2.969208832E0
8.911483460E-1,-2.810052872E0,3.105997562E0,-3.736023307E-1,4.205139320E0
9.079494830E-1,-1.882164240E0,2.346006393E0,1.779367924E-1,3.012963612E0
9.247434190E-1,-1.253640652E0,4.221874237E0,9.359431267E-2,4.405064909E0
9.415590520E-1,-5.974618793E-1,7.114385605E0,-6.163022518E-1,7.165980163E0
9.583685720E-1,-4.464922547E-1,9.910734177E0,3.738175631E-1,9.927826893E0
9.751771570E-1,2.202047110E0,9.648180008E0,3.674722910E0,1.055651351E1
9.919746630E-1,4.612722397E0,6.615885735E0,6.671701908E0,1.046703197E1
1.008789563E0,3.060657501E0,1.911167622E0,6.288820744E0,7.250479457E0
1.025597009E0,6.921997070E-1,-4.076457977E0,5.337397575E0,6.751626689E0
1.042402317E0,1.464592934E0,-1.140534592E1,2.828946590E0,1.184187007E1
1.059214867E0,4.260798454E0,-2.114611816E1,-8.102775216E-1,2.158632128E1
1.076021865E0,6.732028484E0,-3.322160339E1,-4.169112206E0,3.415225668E1
1.092829890E0,7.376796722E0,-3.628199005E1,3.786909580E-1,3.702625202E1
1.109638483E0,1.107066393E0,-2.174740982E1,-1.215597630E0,2.180947288E1
1.126443650E0,-5.939098597E-1,-1.215802670E1,-4.931606770E0,1.313358623E1
1.143236426E0,-4.788477898E0,-5.906508446E0,1.868582368E-1,7.606002800E0
1.160058396E0,-1.235206842E0,-7.762571335E0,7.981734872E-1,7.900653808E0
1.176867815E0,1.043467164E0,-2.821209908E0,1.193560123E0,3.236145057E0
1.193674568E0,-6.279075146E-1,6.746175766E0,6.133229733E0,9.139018671E0
1.210478279E0,-6.347684264E-1,1.063655663E1,3.891404152E0,1.134382185E1
1.227286599E0,6.423082948E-1,1.246267509E1,2.926586151E0,1.281778986E1
1.244094095E0,7.296586633E-1,1.374387455E1,2.399002790E0,1.397074457E1
1.260902881E0,1.552191377E0,1.283684254E1,7.254586220E-1,1.295068008E1
1.277708038E0,2.125077724E0,1.436864185E1,1.972675025E-1,1.452627752E1
1.294517222E0,2.069346189E0,1.591344261E1,-9.503734112E-1,1.607554226E1
1.311301951E0,3.353570461E0,1.666967773E1,-2.356123209E0,1.716612674E1
1.328130615E0,4.892715454E0,1.562405872E1,-5.740105152E0,1.734931361E1
1.344940868E0,4.526763439E0,1.426055336E1,-3.289898634E0,1.531921677E1
