"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.072953000E-2,3.874309540E0,-3.792636395E0,3.016740084E-2,5.421740985E0
2.753965000E-2,-1.354748249E0,6.198265076E0,-4.326496124E0,7.679349027E0
4.435808100E-2,8.752898216E0,-4.980612755E0,3.356506348E0,1.061535988E1
6.118016500E-2,7.849694252E0,-2.502900600E0,-2.652834654E0,8.655619156E0
7.798041700E-2,4.192594528E0,-5.588049412E0,-1.454951048E0,7.135897117E0
9.477863500E-2,1.364718914E0,-7.934276581E0,-2.264622688E0,8.363236126E0
1.115864670E-1,2.597646713E-1,-8.112005234E0,3.614761233E-1,8.124208982E0
1.284075730E-1,-8.143091202E-1,-6.320719242E0,-1.198607445E0,6.484693585E0
1.452022920E-1,-4.544884682E0,-1.238598347E0,-7.151084542E-1,4.764607301E0
1.619951900E-1,-6.874246120E0,4.407277107E0,-2.649290323E0,8.584759195E0
1.788134680E-1,-7.689522266E0,5.630208492E0,-9.369957447E-2,9.530833120E0
1.956229160E-1,-4.501632690E0,4.034615517E0,2.457670867E-1,6.050059562E0
2.124254790E-1,-4.851637840E0,3.989271879E0,1.507255793E0,6.459450432E0
2.292373170E-1,-2.037791252E0,5.185039043E0,6.500407219E0,8.561104898E0
2.460446510E-1,1.011097908E0,9.130697250E0,7.394029140E0,1.179252383E1
2.628539460E-1,4.043438435E0,8.923666000E0,3.813339710E0,1.051298098E1
2.796561220E-1,5.654249668E0,9.945015907E-1,-9.686538696E0,1.126004461E1
2.964624780E-1,4.317355156E-1,-7.338900566E-1,-1.367639065E0,1.611032831E0
3.132706650E-1,-9.430098534E-1,-1.522550583E-1,3.316220522E0,3.451053134E0
3.300776220E-1,1.406579018E0,-2.867632866E0,-1.698107004E0,3.617367853E0
3.468831440E-1,-2.405880690E0,-3.880623817E0,-8.618356705E0,9.753131569E0
3.636925820E-1,2.815290451E0,-3.165484428E0,-1.157885742E1,1.232948057E1
3.804993660E-1,-1.170758963E0,4.812568188E0,3.032622099E0,5.807605867E0
3.973056000E-1,-1.455475688E0,8.185234070E0,2.666378260E0,8.730752504E0
4.141107450E-1,-5.700345039E-1,8.599051476E0,1.366286993E0,8.725558192E0
4.309197170E-1,-4.188393593E0,-7.860409737E0,2.859367609E0,9.354392831E0
4.477271810E-1,-1.306075668E1,-1.684742737E1,6.534583569E0,2.229618704E1
4.645347070E-1,-7.095104694E0,-7.635588646E0,4.876757145E0,1.150762725E1
4.813386330E-1,-2.064964056E0,-3.103466034E-1,7.414786220E-1,2.215893074E0
4.981481820E-1,9.654507637E-1,2.238828182E0,5.062198639E-1,2.490121555E0
5.149540710E-1,1.408652425E0,3.529745102E0,-1.905668020E0,4.251467128E0
5.317625340E-1,-5.063389540E-1,3.586095810E0,-1.850436211E0,4.067010753E0
5.485661530E-1,-2.048640251E0,3.238195896E0,1.591775417E-1,3.835124122E0
5.653746240E-1,2.989437342E0,1.011404705E1,4.813844681E0,1.159326460E1
5.821691820E-1,1.281914353E0,4.290145397E0,-1.141563892E0,4.620802967E0
5.989884150E-1,1.451535821E-1,2.490486145E0,-7.499296665E0,7.903356330E0
6.157754130E-1,-4.738724232E-1,1.112999916E0,-1.085360289E0,1.625217168E0
6.326134980E-1,-8.406006694E-1,-1.798579216E0,-5.866950989E0,6.193755774E0
6.493992030E-1,1.778603196E0,-3.323919296E0,4.249575615E0,5.680736020E0
6.662170950E-1,-2.192131519E0,-2.588018417E0,-7.496785641E0,8.228309357E0
6.830237060E-1,-2.476382732E0,-3.273715973E0,5.097432613E0,6.544731236E0
6.998302140E-1,-2.003275394E0,-9.296843529E0,4.615480423E0,1.057104874E1
7.166474650E-1,-9.869123101E-1,-2.643100357E1,5.089116573E0,2.693456985E1
7.334424690E-1,2.738969326E0,-3.894602966E1,5.452088356E0,3.942106603E1
7.502561000E-1,6.555131912E0,-2.966012955E1,1.944780648E-1,3.037648533E1
7.670583660E-1,4.938877106E0,-1.225619221E1,5.779251456E-2,1.321401129E1
7.838665120E-1,9.573502541E-1,-1.048084259E0,-1.909596801E0,2.379403300E0
8.006727870E-1,-1.364980221E0,7.600511551E0,-4.426140308E0,8.900655306E0
8.174800690E-1,-1.798027277E0,1.082208061E1,-2.390858173E0,1.122793541E1
8.342864040E-1,-1.228863358E0,1.160431480E1,-4.327902794E-1,1.167722290E1
8.510939420E-1,-5.543840528E-1,1.192819595E1,2.531608939E-1,1.194375531E1
8.679001650E-1,6.289184093E-1,1.247826004E1,5.030620694E-1,1.250422262E1
8.847103970E-1,2.199582577E0,1.314412212E1,2.680894434E-1,1.332959046E1
9.015151880E-1,3.179950237E0,1.281681633E1,-6.192915440E-1,1.321992384E1
9.183047280E-1,2.849305153E0,1.210988235E1,-1.404206753E-1,1.244136281E1
9.351281030E-1,1.796548486E0,1.143543720E1,2.484032512E-1,1.157836407E1
9.519359550E-1,1.116184115E0,1.092744827E1,1.448362112E0,1.107938381E1
9.687436640E-1,1.741877794E-1,1.033397675E1,1.710679293E0,1.047606035E1
9.855485140E-1,-9.933965206E-1,9.371966362E0,7.445360422E-1,9.453831184E0
1.006553997E0,-1.628745556E0,9.443421364E0,-8.600116372E-1,9.621363685E0
1.023356904E0,-1.725383878E0,9.814908028E0,-1.484460354E0,1.007536558E1
1.040175864E0,-1.666740417E0,1.031677723E1,-5.060890317E-1,1.046279323E1
1.056983432E0,-1.505876780E0,1.077708054E1,1.345948577E0,1.096470279E1
1.073790010E0,-1.354222417E0,1.107892704E1,2.145612955E0,1.136574668E1
1.090596073E0,-1.006124020E0,1.108710003E1,1.653326273E0,1.125475723E1
1.107404149E0,-7.860982418E-1,9.453449249E0,9.127839804E-1,9.529891277E0
1.124208094E0,1.319975853E-1,6.027754784E0,3.144991398E0,6.800163379E0
1.141021947E0,2.283993721E0,2.053135872E0,4.703692913E0,5.617536938E0
1.157812219E0,9.548640251E0,-5.390056610E1,-1.157741928E1,5.595073006E1
1.174629816E0,1.340645695E1,-7.450756836E1,-3.009768009E0,7.576390654E1
1.191435369E0,1.385560703E1,-6.194425201E1,-7.134090424E0,6.387459158E1
1.208248469E0,4.453656673E0,-3.618256760E1,-3.713616848E0,3.664429295E1
1.225043676E0,-1.516170502E-1,-1.360985470E1,2.223397255E0,1.379110684E1
1.241854683E0,-7.010797262E-1,-1.227248192E0,3.753828049E0,4.011094106E0
1.258649563E0,-5.680117607E-1,7.191959381E0,1.677657604E0,7.406851702E0
1.275469328E0,1.168121099E-1,1.091398716E1,1.122180223E0,1.097214880E1
