"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.699873000E-2,1.769839823E-1,-8.114492893E-2,-8.320369720E-1,8.545135179E-1
3.381571700E-2,5.301985145E-2,-3.178454638E-1,-1.011656761E0,1.061737371E0
5.061487100E-2,-1.399639547E-1,-1.740760803E-1,-1.326325417E0,1.345002417E0
6.741155200E-2,-6.258633733E-2,-1.499143839E-1,-8.310470581E-1,8.467765850E-1
8.421747200E-2,6.744730473E-2,1.567418575E-1,-2.859849930E-1,3.330233701E-1
1.010211940E-1,1.770542860E-1,3.086538315E-1,5.977630615E-2,3.608165942E-1
1.178344370E-1,1.914210618E-1,3.374567032E-1,1.176688194E0,1.238997238E0
1.346344650E-1,1.314146817E-1,6.572837830E-1,2.484386444E0,2.573221287E0
1.514649500E-1,1.803798079E-1,1.270196199E0,3.627392769E0,3.847585419E0
1.682556410E-1,1.926297247E-1,1.479307890E0,4.725457191E0,4.955340928E0
1.850803380E-1,9.379324317E-2,1.172508240E0,5.998218536E0,6.112462544E0
2.018886170E-1,-2.663353086E-2,8.092117310E-1,7.171767235E0,7.217324867E0
2.186615980E-1,-2.228598893E-1,1.383339882E0,7.572318077E0,7.700863381E0
2.354869660E-1,-3.788165152E-1,2.260001898E0,6.833880424E0,7.207845183E0
2.522998930E-1,1.123054698E-1,2.566193819E0,8.009784698E0,8.411576199E0
2.691045310E-1,1.221855521E0,2.321832418E0,9.528746605E0,9.883362209E0
2.859109480E-1,2.535701513E0,2.101043701E0,1.147202492E1,1.193530571E1
3.027176390E-1,2.600764990E0,2.087569475E0,1.279556274E1,1.322302351E1
3.195240880E-1,2.238918066E0,2.142963648E0,9.914627075E0,1.038772725E1
3.363308810E-1,1.466799378E0,1.968526363E0,3.092366219E0,3.948331963E0
3.531374310E-1,4.451314211E-1,6.566105485E-1,-4.592817783E0,4.660821235E0
3.699440720E-1,-1.755153537E-1,-1.138606146E-1,-8.660523415E0,8.663050023E0
3.867469280E-1,-1.219732761E-1,-4.103642106E-1,-9.199485779E0,9.209441615E0
4.056389580E-1,-3.700244129E-1,-1.010195136E0,-7.633358002E0,7.708798004E0
4.224544900E-1,-7.122397423E-1,-1.032527566E0,-8.360177994E0,8.453755066E0
4.392593710E-1,-5.638265610E-1,-6.046673059E-1,-1.032541180E1,1.035845798E1
4.560675180E-1,-1.556893289E-1,-1.461297870E-1,-1.149769783E1,1.149968036E1
4.728731150E-1,-7.071541250E-2,1.954811215E-1,-1.152871037E1,1.153058438E1
4.896795180E-1,5.968067050E-2,-5.917348862E-1,-1.081608105E1,1.083241991E1
5.065017120E-1,-2.096015215E-2,-1.377849340E0,-1.005903435E1,1.015298380E1
5.233081240E-1,-6.491498649E-2,-1.096233845E0,-9.724452019E0,9.786261271E0
5.401113730E-1,-9.527900815E-2,-5.817835331E-1,-9.161659241E0,9.180607290E0
5.569060710E-1,-1.868855357E-1,-3.977349699E-1,-8.738482475E0,8.749525432E0
5.737113850E-1,-3.978991807E-1,-3.439437747E-1,-8.468867302E0,8.485183231E0
5.905208140E-1,-4.517059326E-1,-3.604947925E-1,-8.669743538E0,8.688984277E0
6.073251920E-1,-5.120699406E-1,-2.879273891E-1,-7.774805546E0,7.796968583E0
6.241192740E-1,2.207815647E-2,-2.664436698E-1,-5.609841347E0,5.616208651E0
6.409390790E-1,1.016795754E0,4.957050085E-1,-1.985445023E0,2.285079648E0
6.577585270E-1,2.276328087E0,3.182668686E-1,3.412121773E0,4.114065915E0
6.745686470E-1,3.536797523E0,-1.503284454E0,9.558508873E0,1.030213050E1
6.913561080E-1,4.793393612E0,-1.533380508E0,1.275082970E1,1.370808287E1
7.081778090E-1,5.808621883E0,2.058502674E0,1.679878426E1,1.789348132E1
