"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.541325100E-2,9.663319588E-1,1.887950897E-1,1.335442543E0,1.659170825E0
3.221384700E-2,5.968523026E-1,3.035583496E-1,7.706673741E-1,1.020935132E0
4.902630500E-2,3.921880722E-1,1.034488678E-1,4.571047425E-1,6.111120174E-1
6.584150100E-2,5.486607552E-1,3.087234497E-2,4.363538623E-1,7.017025146E-1
8.265251300E-2,8.733348846E-1,2.356672287E-1,8.555369377E-1,1.245068799E0
9.945653900E-2,2.871737480E-1,4.630031586E-1,8.447754979E-1,1.005229490E0
1.162682330E-1,7.485513687E-1,-7.913875580E-2,7.303752303E-1,1.048827951E0
1.330721870E-1,5.149827003E-1,4.746608734E-1,-3.182703257E-2,7.010870748E-1
1.498860300E-1,4.224576950E-1,7.874002457E-1,-7.279415131E-1,1.152548696E0
1.666892600E-1,3.156468868E-1,1.148854256E0,-8.433988094E-1,1.459733061E0
1.834980260E-1,7.392635345E-1,1.732378006E-1,-7.957257628E-1,1.099864264E0
2.003064460E-1,3.156065941E-1,-7.655143738E-3,-2.742112279E-1,4.181601619E-1
2.171117520E-1,-2.695083618E-2,-4.086303711E-2,2.477686405E-1,2.525577847E-1
2.339197540E-1,1.564834118E-1,5.936622620E-1,3.336187303E-1,6.987298453E-1
2.507294670E-1,8.059232235E-1,6.776380539E-1,7.178185135E-2,1.055394812E0
2.675350480E-1,8.144276142E-1,1.227245331E-1,1.919622272E-1,8.456968408E-1
2.843306300E-1,6.325397491E-1,-3.073406219E-2,3.357685804E-1,7.167926175E-1
3.011516630E-1,4.437375069E-1,3.797264099E-1,4.180565476E-3,5.840484556E-1
3.179628190E-1,5.431480408E-1,4.679374695E-1,-4.103959501E-1,8.260751209E-1
3.347656740E-1,4.130005836E-1,6.620378494E-1,-5.150687099E-1,9.349649042E-1
3.515746330E-1,3.436803818E-2,6.109180450E-1,6.927084178E-2,6.157925538E-1
3.683831240E-1,-6.352710724E-2,1.578968048E0,4.728898406E-1,1.649484947E0
3.851908210E-1,9.897184372E-2,2.166883945E0,3.097406328E-1,2.191145983E0
4.019963810E-1,-2.429580688E-2,2.211469650E0,4.322456121E-1,2.253447264E0
4.188040900E-1,-7.415785789E-1,2.497768879E0,1.529527307E-1,2.610015843E0
4.356013600E-1,-1.878435135E0,2.639008045E0,7.027701139E-1,3.314629369E0
4.524205420E-1,-2.553258896E0,3.522144318E0,5.598916411E-1,4.386127020E0
4.692160020E-1,-2.898833513E0,4.678589344E0,1.184398293E0,5.629851979E0
4.860347260E-1,-3.030682564E0,5.022690773E0,9.885386229E-1,5.948921584E0
5.028309390E-1,-2.220248699E0,3.904623032E0,-9.304008484E-1,4.587072165E0
5.196539150E-1,-1.428756237E0,1.911185265E0,-1.963044882E0,3.089905938E0
5.364567290E-1,-9.895675182E-1,1.960786343E0,-8.233494759E-1,2.345598285E0
5.532653020E-1,-5.052204132E-1,1.885497093E0,-1.812380552E-2,1.952095138E0
5.700748510E-1,-4.552459717E-2,-5.050954819E-1,6.624073386E-1,8.342526098E-1
5.868772060E-1,6.756985188E-1,-5.121563911E0,3.766075373E-1,5.179654296E0
6.036917200E-1,1.727157354E0,-9.919952393E0,-1.453479409E0,1.017355053E1
6.204985940E-1,3.703653574E0,-1.432024193E1,-2.408975124E0,1.498631175E1
6.373016410E-1,5.570652962E0,-1.763619232E1,-1.327335119E0,1.854263392E1
6.541092580E-1,6.726476669E0,-1.865407562E1,1.959887385E0,1.992639416E1
6.709222760E-1,6.470462799E0,-1.909156036E1,4.988538742E0,2.076632092E1
6.877296260E-1,5.856608391E0,-2.025411224E1,5.614894390E0,2.181870674E1
7.045353610E-1,5.362906456E0,-2.064947510E1,3.761147261E0,2.166351348E1
7.213427530E-1,4.897719383E0,-1.927879524E1,2.567250252E0,2.005618047E1
7.381505210E-1,3.744876385E0,-1.330401134E1,4.066297054E0,1.440678967E1
7.549598060E-1,2.147925138E0,-3.482622147E0,7.047164917E0,8.148912368E0
7.717648880E-1,2.066216469E-1,4.787970543E0,7.034241199E0,8.511633432E0
7.885732060E-1,-1.456128955E0,1.082280922E1,4.472426414E0,1.180068256E1
8.053759090E-1,-2.541018248E0,1.655288887E1,2.254541516E-1,1.674830538E1
8.221963720E-1,-2.020900965E0,2.013944244E1,-3.907298565E0,2.061427090E1
8.389973660E-1,-1.143935680E0,2.029894638E1,-6.454256058E0,2.133103922E1
8.558028370E-1,-2.276375294E-1,1.805377960E1,-6.517985344E0,1.919570029E1
8.726113260E-1,3.509211540E-2,1.424773216E1,-5.444930077E0,1.525274948E1
8.894231840E-1,-4.170298576E-1,1.130015278E1,-4.045157433E0,1.200960721E1
9.062293250E-1,-9.323344231E-1,7.894126892E0,-1.989719868E0,8.194234071E0
9.230238590E-1,-1.329852939E0,5.930826187E0,-1.076198578E0,6.172634080E0
9.398421670E-1,-1.273923516E0,6.626600742E0,-1.187377453E0,6.851611762E0
9.566403010E-1,-9.220311642E-1,7.671279907E0,-1.051010966E0,7.797647141E0
9.734582220E-1,-7.013494968E-1,8.979990959E0,-7.774912715E-1,9.040830793E0
9.902495930E-1,-9.236466885E-1,8.896189690E0,-5.357392430E-1,8.960040778E0
1.007075793E0,-2.258182049E0,1.049420929E1,7.463899851E-1,1.076033981E1
1.023881722E0,-4.853329659E0,1.383904839E1,2.818832874E0,1.493385040E1
1.040674618E0,-6.454668045E0,1.586291313E1,4.095255375E0,1.760868732E1
1.057496903E0,-5.607185364E0,7.836533546E0,2.419953823E0,9.935188082E0
1.074300765E0,-5.921781540E0,-5.377120972E-1,-2.233283520E0,6.351707344E0
1.091115694E0,-5.454729557E0,-5.044888496E0,-2.429205656E0,7.817033619E0
1.107916597E0,-5.340653896E0,-2.138502121E0,-2.621427059E0,6.321997721E0
1.124730846E0,-4.534510612E0,3.254460335E0,-1.368940830E0,5.746938103E0
1.141540505E0,-2.304733276E0,4.130816936E0,-2.171645641E0,5.204948494E0
1.158343036E0,2.327660561E0,-3.907858849E0,-3.480939865E0,5.727679007E0
1.175149044E0,7.660622120E0,-1.278362465E1,-9.199504256E-1,1.493159399E1
1.191958917E0,1.327529907E1,-1.911615753E1,2.219062328E0,2.337916341E1
1.208764978E0,1.819099045E1,-2.583988953E1,4.974253654E0,3.198992378E1
1.225573042E0,1.772463608E1,-3.035541725E1,7.412484169E0,3.592435110E1
1.242379162E0,1.122861671E1,-2.921629333E1,5.556621552E0,3.178914394E1
1.259187785E0,9.806623459E0,-2.571482277E1,2.834603786E0,2.766689271E1
1.276000020E0,8.672306061E0,-1.938094330E1,1.103287578E0,2.126139927E1
1.292815224E0,6.355226040E0,-1.186101818E1,1.350495934E0,1.352392286E1
1.309611813E0,3.076143265E0,-4.686404228E0,2.379756212E0,6.090014910E0
1.326418126E0,-7.001595497E-1,3.115284920E0,3.062270880E0,4.424107420E0
1.343227482E0,-2.235434055E0,1.165516281E1,2.452741623E0,1.211841273E1
1.360035444E0,-2.874542236E0,1.813682175E1,1.924028993E0,1.846372616E1
1.376828899E0,-3.594212770E0,1.894785118E1,1.392975569E0,1.933597194E1
1.393650422E0,-4.260729313E0,1.657565308E1,1.135792613E0,1.715214605E1
1.410457529E0,-4.860150337E0,1.398142242E1,-3.078453541E-1,1.480526944E1
1.427259163E0,-5.299553394E0,1.018224144E1,-1.645693064E0,1.159618957E1
1.444064277E0,-5.049713135E0,7.881704330E0,-2.019086599E0,9.575885160E0
1.460880397E0,-4.475120544E0,6.987710953E0,-1.701030731E0,8.470437639E0
1.477684238E0,-4.181109905E0,7.637357712E0,-8.483734727E-1,8.748179834E0
1.494492425E0,-3.099533081E0,7.602361202E0,-4.692087173E-1,8.223330103E0
1.511305390E0,-2.405955315E0,7.329076767E0,1.092485338E-1,7.714656342E0
1.528111298E0,-2.420781136E0,7.517736912E0,7.677163482E-1,7.935107937E0
1.544906026E0,-2.340392351E0,7.389647484E0,1.163523436E0,7.838246811E0
1.561719561E0,-2.230973721E0,8.531587601E0,1.761465311E0,8.992663164E0
1.578538438E0,-3.087570429E0,1.148694992E1,3.213256121E0,1.232104397E1
1.595336228E0,-4.365284443E0,1.196498108E1,4.026311874E0,1.335768198E1
1.612153823E0,-4.671082020E0,8.596429825E0,3.698765039E0,1.045937263E1
1.628957817E0,-6.187119484E0,5.180547714E0,3.905397177E0,8.964967888E0
1.645762667E0,-7.756401062E0,3.669760466E0,3.156168461E0,9.142773029E0
1.662572937E0,-6.941204071E0,1.220680714E0,9.862714410E-1,7.116397032E0
1.679380808E0,-3.880920649E0,-2.214859009E0,-3.464248657E0,5.654039642E0
1.696186725E0,1.530018806E0,-6.529596329E0,-7.524866581E0,1.007969260E1
1.712998867E0,1.182905960E1,-1.434037018E1,-7.096414089E0,1.989803912E1
1.729803360E0,2.135526848E1,-2.345966721E1,-3.695210695E0,3.193834779E1
1.746609471E0,2.148557854E1,-2.872100830E1,-2.293022871E0,3.594140171E1
1.763416731E0,2.005926323E1,-3.726390076E1,-1.645505309E0,4.235185980E1
1.780221712E0,1.617518425E1,-3.258279037E1,-1.189612508E0,3.639629091E1
1.797036204E0,1.216258812E1,-2.454071045E1,1.193517208E0,2.741531511E1
1.813841145E0,7.890556812E0,-1.572915268E1,1.282425404E0,1.764402861E1
1.830649219E0,4.446104527E0,-4.024527550E0,4.487355351E-1,6.013820004E0
1.847454617E0,1.105644703E0,7.021255970E0,1.354233384E0,7.235636369E0
1.864264339E0,-2.216607809E0,1.486469173E1,-3.165250719E-1,1.503238500E1
1.881070571E0,-3.756717682E0,1.817758751E1,4.644910246E-2,1.856178259E1
1.897878868E0,-4.528187275E0,1.726734161E1,-9.555200338E-1,1.787676103E1
1.914689719E0,-4.289955139E0,1.434490585E1,-2.270230532E0,1.514377713E1
1.931494527E0,-3.347513437E0,1.192814636E1,-2.382797480E0,1.261603130E1
1.948301554E0,-2.941649914E0,1.150110531E1,-1.941269040E0,1.202901713E1
1.965096841E0,-2.936879158E0,1.028788090E1,-2.237845659E0,1.093040282E1
1.981914964E0,-2.984378099E0,6.314328194E0,-1.974710941E0,7.257874102E0
1.998729000E0,-3.143708229E0,5.113243103E0,-7.775456309E-1,6.052498135E0
2.015531804E0,-3.116901636E0,5.664018631E0,4.382299185E-1,6.479832430E0
2.032341291E0,-3.182343721E0,6.503344536E0,1.205144286E0,7.339834771E0
2.049141797E0,-3.451928616E0,7.113653660E0,1.266396403E0,8.007723735E0
2.065960715E0,-4.340339184E0,7.875174522E0,1.033404589E0,9.051234338E0
2.082763264E0,-5.742137909E0,8.608246803E0,1.716526747E0,1.048906692E1
2.097949573E0,-7.861835480E0,1.076137543E1,3.196707010E0,1.370527613E1
2.112093336E0,-9.023902893E0,1.278335190E1,4.385226727E0,1.625038838E1
2.128999069E0,-8.811518669E0,1.269104767E1,4.661505699E0,1.613800445E1
2.145788976E0,-8.134539604E0,1.030280590E1,5.273373127E0,1.414662533E1
2.162604504E0,-5.307240009E0,5.038537025E0,3.137053490E0,7.962082420E0
2.179406796E0,-2.115319252E0,-2.253174305E0,-7.216882706E-1,3.173673573E0
2.196222698E0,-3.052901268E0,-3.971843719E-1,-6.572993994E-1,3.148015895E0
2.213023009E0,-1.814530373E0,-3.842759132E-1,-2.195043802E0,2.873744203E0
2.229819568E0,5.992087841E0,-6.502557755E0,-4.386657715E0,9.870721349E0
2.246644395E0,1.491094494E1,-1.679063988E1,-3.854632854E0,2.278420639E1
2.263447322E0,1.883903694E1,-2.160792542E1,1.259450912E-1,2.866753592E1
2.280253911E0,2.034035873E1,-2.772309113E1,4.576595306E0,3.468782495E1
2.297055758E0,1.927397346E1,-3.195484161E1,5.036599159E0,3.765587984E1
2.313870485E0,1.396563339E1,-3.038269997E1,1.245337725E0,3.346189235E1
2.330656882E0,8.180658340E0,-2.293099213E1,7.239861488E-1,2.435729309E1
2.347480834E0,6.094338894E0,-1.346261787E1,2.000575542E0,1.491259029E1
2.364296954E0,5.883988857E0,-2.964174747E0,1.661529779E0,6.794728693E0
2.381100766E0,5.609613895E0,6.226062298E0,3.527219296E-1,8.387850294E0
2.397901373E0,5.041354656E0,1.433276463E1,-7.165769935E-1,1.521042015E1
2.414718469E0,3.590237141E0,2.108354187E1,-1.704903603E0,2.145488841E1
2.431527671E0,1.221159935E0,2.128916168E1,-1.322660565E0,2.136513673E1
2.448328004E0,-1.562528610E-1,1.624871826E1,-9.950232506E-1,1.627990575E1
2.465144776E0,-1.418128014E0,1.121339989E1,-1.084609032E-1,1.130323794E1
2.481951161E0,-2.656467438E0,8.199674606E0,8.278647065E-1,8.658916957E0
2.498756092E0,-4.023653984E0,7.334805965E0,1.328651786E0,8.470801940E0
2.515560034E0,-4.785270691E0,6.800557137E0,1.190705299E0,8.400248333E0
2.532368282E0,-4.107231140E0,5.608374596E0,-2.173951864E-1,6.954888490E0
