"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.258431200E-2,1.149129868E-1,5.121228695E-1,-6.335682869E-1,8.227293614E-1
3.938868400E-2,2.532958984E-3,1.415874958E-1,-3.364417553E-1,3.650294366E-1
5.619859100E-2,-1.385736465E-1,-1.660239547E-1,1.771715879E-1,2.795646270E-1
7.300508900E-2,-5.357646942E-1,-2.149784267E-1,6.875890493E-1,8.977963200E-1
8.980148600E-2,-9.573793411E-1,-2.196293622E-1,1.002146006E0,1.403249399E0
1.066201220E-1,-9.786930084E-1,-3.349961042E-1,1.166322231E0,1.558964381E0
1.234210250E-1,-5.793390274E-1,-4.714474380E-1,1.185462952E0,1.401149102E0
1.402332810E-1,8.644104004E-3,-4.819446504E-1,7.345109582E-1,8.785509173E-1
1.570266680E-1,6.751489639E-1,-4.689230621E-1,-1.472139359E-2,8.221506438E-1
1.738468690E-1,7.459802628E-1,-5.230102539E-1,-1.409540176E-1,9.218971272E-1
1.906564090E-1,1.235513687E-1,-3.562633395E-1,9.099304676E-2,3.879023619E-1
2.074658780E-1,-4.781055450E-2,-6.655454636E-3,7.789504528E-2,9.163941443E-2
2.242722030E-1,1.406459808E-1,4.524778128E-1,-4.010739326E-1,6.207880173E-1
2.410767790E-1,1.820697784E-1,7.261587977E-1,-4.542260170E-1,8.756581972E-1
2.578910710E-1,-1.166238785E-1,7.686351538E-1,-1.288158894E-1,7.880321453E-1
2.746910480E-1,-2.231111526E-1,5.367850065E-1,-7.819247246E-2,5.865413817E-1
2.915068240E-1,-1.253395081E-1,2.841252089E-1,2.209380865E-1,3.811177832E-1
3.083082070E-1,-4.264574051E-1,-7.612614334E-2,1.132836461E0,1.212839460E0
3.251214900E-1,-1.022354126E0,-5.284962058E-1,1.954923391E0,2.268532932E0
3.419243660E-1,-1.363454819E0,-4.612047970E-1,2.617099762E0,2.986792606E0
3.587378340E-1,-1.532448769E0,-7.628067136E-1,2.859471798E0,3.332694447E0
3.755404060E-1,-2.083759308E0,-9.691339135E-1,2.828109264E0,3.644101454E0
3.923488060E-1,-2.960772038E0,-9.775264263E-1,2.681042910E0,4.112143000E0
4.091545320E-1,-3.923582077E0,-5.500266552E-1,2.139146328E0,4.502551793E0
4.259650090E-1,-4.455525398E0,-1.806600094E-1,2.131715417E-1,4.464278970E0
4.427772640E-1,-4.962912560E0,-1.161927730E-1,-1.608747244E0,5.218435544E0
4.595779850E-1,-5.408612251E0,-1.034780443E-1,-7.718771100E-1,5.464392781E0
4.763850950E-1,-5.148635387E0,-5.932533741E-1,-7.565820813E-1,5.237634234E0
4.931944520E-1,-4.036159039E0,1.360008359E0,-3.913795948E-1,4.277076163E0
5.099855180E-1,-2.116375446E0,2.316338778E0,1.024698853E0,3.300678431E0
5.268109280E-1,1.290413857E0,2.697374582E0,-3.830103636E0,4.859083393E0
5.436150260E-1,6.317317963E0,1.910399914E0,-1.909703732E0,6.870596947E0
5.604258680E-1,1.273388481E1,-9.845323563E-1,1.396635056E0,1.284802381E1
5.772309530E-1,1.789086342E1,-3.368203640E0,-2.972728729E0,1.844627078E1
5.940380000E-1,2.045159531E1,-1.991883039E0,-5.249204159E0,2.120824116E1
6.108429120E-1,2.160334778E1,-1.396417379E0,-4.014981270E0,2.201759958E1
6.276622190E-1,2.129727364E1,8.222270012E-1,-2.072139263E0,2.141363310E1
6.444499280E-1,2.079724884E1,2.917703867E0,-1.495102167E0,2.105407053E1
6.612684810E-1,1.994245529E1,2.157730103E0,-1.021857023E0,2.008485783E1
6.780819790E-1,1.413933372E1,2.436003685E0,-1.962713003E-1,1.434898584E1
6.948849070E-1,6.152836800E0,9.933213592E-1,3.650800586E-1,6.243186002E0
7.116786590E-1,-6.551475525E-1,-1.605154991E0,2.812789440E0,3.304167867E0
7.284963480E-1,-1.045922852E1,-8.454120636E0,-4.044658184E0,1.404374867E1
7.453101100E-1,-1.205410194E1,-4.949892521E0,-1.898311973E-1,1.303222335E1
7.621150710E-1,-8.709588051E0,3.247249603E0,7.438797474E0,1.190534594E1
7.789200030E-1,-9.820521355E0,2.217942476E0,7.748109818E0,1.270413768E1
7.957324440E-1,-1.038972378E1,1.798986673E0,6.246158600E0,1.225549715E1
