"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.316473700E-2,8.512959480E-1,-3.039671898E0,6.848530769E-1,3.230067147E0
2.997284100E-2,7.325086594E-1,-9.632997513E-1,-1.252818584E0,1.741858132E0
4.677968200E-2,-7.101092339E-1,1.073637009E0,-6.561460495E-1,1.444811126E0
6.358700400E-2,-1.094309807E0,3.151298046E0,2.662861347E-2,3.336000961E0
8.039744800E-2,-2.789855957E0,3.364086151E0,4.017112255E-1,4.388820320E0
9.720383300E-2,-2.920716763E0,2.836110353E0,1.961398125E-2,4.071178337E0
1.140125280E-1,-9.061822891E-1,1.947751522E0,6.428935528E-1,2.242368046E0
1.308184240E-1,1.393611431E0,1.468454361E0,-7.559206486E-1,2.161001402E0
1.476146560E-1,6.760487556E-1,2.481040478E0,-1.862646699E0,3.175225425E0
1.644402890E-1,-1.757325172E0,4.199362755E0,-2.056058407E0,4.995019067E0
1.812439580E-1,1.497518539E0,1.698922157E0,-1.788558006E0,2.885799372E0
1.980485420E-1,-5.439124107E-1,1.158097267E0,5.616144180E0,5.760043875E0
2.148442670E-1,-6.800365448E-1,-9.577465057E-2,-1.538416624E0,1.684739800E0
2.316699070E-1,-1.107349396E-1,-1.929039001E0,-7.953126431E-1,2.089491779E0
2.484736480E-1,1.719569206E0,-2.322989464E0,-1.721971035E-1,2.895315207E0
2.652820470E-1,3.299753189E0,-6.369609833E-1,4.922281504E-1,3.396524541E0
2.820787480E-1,1.874230623E0,3.202546120E0,-5.139465928E-1,3.746089051E0
2.988923050E-1,8.193094730E-1,5.222936630E0,-1.499003053E0,5.495211116E0
3.156943980E-1,-3.438744545E-1,6.542062759E0,3.676325083E-1,6.561401409E0
3.325187160E-1,-7.166823149E-1,5.890481949E0,-2.881968021E-2,5.933990369E0
3.493187750E-1,-1.718692899E0,-7.949652672E0,-3.653105259E0,8.916056354E0
3.661356880E-1,-4.821992874E0,-1.422722530E1,-3.614349365E-1,1.502651624E1
3.829378810E-1,-4.542181015E0,-6.550763130E0,1.079866886E0,8.044253754E0
3.997449790E-1,-1.740601897E0,2.439186573E0,-1.524363756E0,3.361995087E0
4.165552700E-1,-9.425440431E-1,3.807882786E0,-1.843244076E0,4.334271485E0
4.333600880E-1,-2.788919210E-1,1.542291641E0,-1.005647421E0,1.862195195E0
4.501745810E-1,2.728182077E-1,1.419219971E-1,-9.135369062E-1,9.639093872E-1
4.669809960E-1,1.030836463E0,-4.874238968E-1,-9.885687828E-1,1.509130248E0
4.837850220E-1,2.370590687E0,-8.901739120E-1,-7.894790173E-2,2.533444803E0
5.005931980E-1,4.693964005E0,-2.511105537E0,-1.833614469E0,5.630372200E0
5.174006600E-1,7.247547150E0,-4.773507118E0,-1.657139301E0,8.835124253E0
5.342112670E-1,7.299767017E0,-4.022010803E0,5.951451063E-1,8.355678734E0
5.510166250E-1,5.421505928E0,-1.833275795E0,1.534485817E-2,5.723098997E0
5.678260100E-1,2.326265335E0,3.304653168E-1,-2.374248981E0,3.340325727E0
5.846330070E-1,4.783437252E-1,2.651042938E-1,-3.152239799E0,3.199329423E0
6.014473970E-1,-1.346054077E-1,-1.155672073E-1,-3.009025097E0,3.014250558E0
6.182503330E-1,-2.321267128E-1,6.390781403E-1,-1.671958566E0,1.804923579E0
6.350571260E-1,3.518533707E-2,1.361006737E0,-9.433405101E-2,1.364725708E0
6.518646390E-1,1.107406616E-1,1.936885834E0,9.241673946E-1,2.148924289E0
6.686750530E-1,4.214239120E-2,1.521512032E0,2.030270576E0,2.537473834E0
6.854912140E-1,2.081816196E-1,6.540555954E-1,2.719882250E0,2.805153786E0
7.022858190E-1,5.649435520E-1,6.509799957E-1,2.773345470E0,2.904200625E0
7.190967010E-1,8.181042671E-1,2.720994949E-1,4.791090488E0,4.868046918E0
7.359062800E-1,8.845624924E-1,-1.413860321E-1,5.377828121E0,5.451924074E0
7.527017600E-1,7.733216286E-1,-6.238145828E-1,4.380115032E0,4.491389392E0
7.695009130E-1,5.536680222E-1,-1.106806755E0,2.563737392E0,2.846808545E0
7.863296170E-1,1.403081417E-1,-7.005510330E-1,1.105256557E0,1.316073775E0
8.031461220E-1,-1.476745605E-1,-5.120277405E-3,5.685086250E-1,5.873976931E-1
8.199446040E-1,-4.017782211E-1,5.125331879E-1,1.828890562E0,1.941380101E0
8.367523410E-1,1.031246185E-1,1.331672668E-1,2.419282198E0,2.425138050E0
8.535606900E-1,6.410155296E-1,-3.061761856E-1,2.016827106E0,2.138278827E0
8.703723250E-1,8.560452461E-1,-4.948987961E-1,1.393596530E0,1.708756732E0
8.871784130E-1,5.183048248E-1,-1.056594849E0,1.669200540E0,2.042367011E0
9.039837820E-1,-3.725266457E-1,-8.485593796E-1,2.266134739E0,2.448304674E0
9.207904320E-1,-1.025564671E0,-2.985353470E-1,1.905166626E0,2.184162567E0
9.376021260E-1,-1.704118013E0,1.698846817E-1,1.461371899E0,2.251330015E0
9.544058770E-1,-2.404247761E0,4.620637894E-1,1.409813523E0,2.825152104E0
9.712184260E-1,-2.828587055E0,3.823375702E-2,1.101818919E0,3.035847737E0
9.880248930E-1,-2.979698420E0,-1.313753128E-1,1.151578426E-1,2.984815484E0
1.004833191E0,-2.795709610E0,-2.706241608E-2,-1.804312468E-1,2.801656659E0
1.021638649E0,-2.148661137E0,2.670431137E-1,3.779842854E-1,2.197937402E0
1.038449846E0,-1.734658957E0,5.846338272E-1,7.074885964E-1,1.962492935E0
1.055256292E0,-1.264747381E0,7.270183563E-1,2.451388836E-1,1.479268299E0
1.072063766E0,-5.993709564E-1,1.031013012E0,-3.449693918E-1,1.241465769E0
1.088870304E0,3.553709984E-1,8.677482605E-1,-1.077821016E0,1.428626520E0
1.105681674E0,1.339644909E0,4.434614182E-1,-2.766653299E-1,1.438002161E0
1.122492066E0,2.435530663E0,1.217746735E0,-9.256625175E-2,2.724570650E0
1.139297414E0,3.270187378E0,2.665240288E0,1.634691954E-1,4.221889797E0
1.156090728E0,3.640137672E0,3.166810036E0,1.681960702E0,5.109626198E0
1.172911333E0,3.732335567E0,2.397804737E0,1.354884744E0,4.638481326E0
1.189722011E0,4.086681366E0,8.181252480E-1,9.597766399E-2,4.168873375E0
1.206527938E0,4.644561291E0,3.939628601E-1,1.310582876E0,4.841981391E0
1.223325310E0,3.402771473E0,-9.615421295E-1,1.318344593E0,3.773784497E0
1.240144890E0,2.211125851E0,-5.416814804E0,1.869728565E0,6.142218252E0
1.256951569E0,1.832391977E0,-1.146725655E1,1.924960494E0,1.177119815E1
1.273760040E0,1.409111023E-1,-1.120378590E1,-1.981431484E0,1.137852122E1
1.290555480E0,-1.813951015E0,-1.134592056E0,4.756808281E-3,2.139565388E0
1.307375627E0,-3.273971558E0,4.383316040E0,2.196452141E0,5.895485669E0
1.324171708E0,-4.375114441E0,7.053678513E0,-9.405473471E-1,8.353480487E0
1.340987157E0,-4.591792583E0,6.410775185E0,-3.351395845E0,8.568223370E0
1.357801029E0,-3.641059875E0,2.060964108E0,-1.704028845E0,4.517588336E0
1.374620059E0,-1.719628096E0,-1.445199966E0,1.663177490E0,2.794974614E0
1.391414207E0,2.344503403E-1,-1.799451828E0,3.452900648E0,3.900707209E0
1.408224894E0,1.687030792E0,-1.391716003E-1,3.669290066E0,4.040931974E0
1.425015318E0,2.401916265E0,1.474445343E0,1.670313835E0,3.276146994E0
1.441837338E0,2.784015656E0,1.473363876E0,4.480206072E-1,3.181550997E0
1.458647924E0,2.042599678E0,4.792175293E-1,-3.130825162E-1,2.121292895E0
1.475455754E0,1.120904207E0,4.682445526E-2,3.421416879E-1,1.172893732E0
1.492259270E0,2.204504013E-1,1.715364456E-1,1.214300871E0,1.246013538E0
1.509078422E0,-8.173832893E-1,3.755397797E-1,1.973417640E0,2.168760648E0
1.525873638E0,-1.374709964E0,4.365205765E-1,2.173824072E0,2.608809842E0
1.542685841E0,-1.442026138E0,1.076269150E-1,2.228961468E0,2.656932848E0
1.559492603E0,-1.351360202E0,8.883953094E-2,1.821921349E0,2.270124282E0
1.576286619E0,-1.774630070E0,-1.737041473E-1,1.565517664E0,2.372831762E0
1.593112280E0,-2.511890411E0,-6.161451340E-1,-6.273817420E-1,2.661359824E0
1.609917720E0,-1.800446033E0,3.348026276E-1,-8.497537374E-1,2.018856145E0
1.626727817E0,-5.397912264E-1,4.793434143E-1,7.464635968E-1,1.038437566E0
1.643535667E0,4.290843010E-2,2.890338898E-1,8.389669061E-1,8.883958534E-1
1.660342347E0,1.397275925E-1,6.752586365E-2,2.460646629E-2,1.571274023E-1
1.677153869E0,-1.926398277E-2,-1.321678162E-1,-2.037639618E-1,2.436374043E-1
1.693956125E0,1.878035069E-2,-8.760547638E-2,-6.639368534E-1,6.699548988E-1
1.710764443E0,5.309978724E-1,-2.609243393E-1,-1.317745566E0,1.444470017E0
1.727572313E0,1.175436378E0,-1.511983871E-1,-1.824732900E0,2.175812902E0
1.744371689E0,1.920166850E0,3.176240921E-1,-1.631392598E0,2.539560514E0
1.761188288E0,2.704673529E0,-2.702713013E-2,-1.017807007E0,2.889968939E0
1.777997113E0,3.424432278E0,-3.369655609E-1,-9.184136391E-1,3.561427498E0
1.794804353E0,3.459845066E0,-1.618232727E-1,-1.356707215E0,3.719861438E0
1.811601419E0,3.627139330E0,-3.701038361E-1,-2.219662666E0,4.268491410E0
1.828421558E0,4.241099834E0,-7.019853592E-1,-2.399088144E0,4.922939688E0
1.845230955E0,4.797944546E0,-4.498662949E-1,-2.311007500E0,5.344474456E0
1.862032456E0,4.824606895E0,-6.818685532E-1,-2.058855057E0,5.289674902E0
1.878848302E0,4.679821491E0,-1.230035782E0,-1.685650706E0,5.123976534E0
1.895652276E0,3.883756638E0,-8.884096146E-1,-1.754984260E0,4.353482171E0
1.912460105E0,2.096744299E0,-1.325901031E0,-7.998533249E-1,2.606552425E0
1.929257875E0,6.359014511E-1,-1.849316597E0,5.221259594E-1,2.024094377E0
1.946080425E0,-6.971530914E-1,-2.138958931E0,3.186406136E0,3.900557883E0
1.962883940E0,-1.934714794E0,-2.467370033E0,5.883338928E0,6.666686820E0
1.979692238E0,-2.626767159E0,-3.023735046E0,6.550340652E0,7.677880046E0
1.996499671E0,-2.896718979E0,-3.006723404E0,2.816081285E0,5.036038153E0
2.013312108E0,-2.528864384E0,-2.174797058E0,-3.367149115E0,4.739471540E0
2.030115300E0,-2.609815121E0,-2.141469955E0,-2.070780993E0,3.960449779E0
2.046923555E0,-2.832613468E0,-1.561161041E0,3.063583374E-1,3.248811827E0
2.063731467E0,-2.916578293E0,8.870820999E-1,1.732288837E0,3.506304066E0
2.080539673E0,-2.413635254E0,2.457216740E0,1.254899859E0,3.665831816E0
2.097348010E0,-2.061467171E-1,2.510024548E0,8.455587626E-1,2.656631197E0
2.114152941E0,8.483157158E-1,-7.692203522E-1,1.290508151E0,1.725326286E0
2.130966539E0,7.145018578E-1,-1.697664261E0,8.401141167E-1,2.024442782E0
