"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.033490900E-2,-1.596741199E0,-3.582502365E0,2.002860308E0,4.404015789E0
2.715465200E-2,-1.066287518E0,-3.775933266E0,1.446099520E0,4.181607935E0
4.397260400E-2,-5.416297913E-1,-3.704151154E0,1.129597783E0,3.910254436E0
6.076938900E-2,-9.423637390E-2,-3.044643402E0,1.130437255E0,3.249095617E0
7.757678200E-2,8.998155594E-2,-8.246822357E-1,1.095419526E0,1.374096579E0
9.438445100E-2,3.454637527E-1,1.027353287E0,1.127784848E0,1.564192649E0
1.111953340E-1,5.275278091E-1,2.234318733E0,1.124563217E0,2.556385773E0
1.280000010E-1,4.491410255E-1,2.687159061E0,8.244416118E-1,2.846446109E0
1.447968770E-1,4.992508888E-1,2.132886410E0,4.588498473E-1,2.238079326E0
1.616163960E-1,7.351508141E-1,1.127645493E0,1.052032411E-2,1.346158146E0
1.784285510E-1,5.010542870E-1,4.799375534E-1,-4.300779700E-1,8.163103049E-1
1.952285280E-1,2.994713783E-1,6.889162064E-1,-8.499354124E-1,1.134318673E0
2.120451900E-1,2.452893257E-1,1.469484329E0,-1.274654031E0,1.960687111E0
2.288481590E-1,3.420262337E-1,2.205936909E0,-1.461752653E0,2.668306656E0
2.456675960E-1,5.480999947E-1,2.600415230E0,-1.505206704E0,3.054213515E0
2.624627330E-1,8.376331329E-1,2.705650806E0,-1.532297492E0,3.220265696E0
2.792776040E-1,1.108178139E0,2.674831390E0,-1.660663605E0,3.337751543E0
2.960834100E-1,1.071393013E0,2.480362415E0,-1.556248665E0,3.118010681E0
3.128895940E-1,1.071555138E0,2.562934399E0,-1.641199470E0,3.226514969E0
3.296979130E-1,1.131483078E0,2.402179718E0,-1.677835226E0,3.140995447E0
3.465070360E-1,1.127644539E0,2.274059772E0,-1.656816602E0,3.031166658E0
3.633140330E-1,1.087081432E0,2.245204449E0,-1.588399172E0,2.957313136E0
3.801242350E-1,8.941946030E-1,2.551401138E0,-1.815879822E0,3.256785422E0
3.969290240E-1,8.095636368E-1,2.453706741E0,-1.825463295E0,3.163603372E0
4.137350950E-1,8.152656555E-1,2.162855625E0,-1.434885979E0,2.720569851E0
4.305512380E-1,1.128270626E0,1.503491879E0,-1.036327481E0,2.146498796E0
4.473543080E-1,1.479709148E0,6.963834763E-1,-7.998965979E-1,1.820528406E0
4.641640420E-1,1.835243225E0,1.787281036E-2,-6.427243948E-1,1.944616101E0
4.809726160E-1,2.052149296E0,-1.111335754E0,-4.228594899E-1,2.371749152E0
4.977804980E-1,2.104470253E0,-1.424704552E0,-2.083191276E-1,2.549897050E0
5.145877690E-1,2.146316051E0,-1.652297974E0,-3.267586231E-2,2.708842723E0
5.313913490E-1,2.299995422E0,-1.681266785E0,1.646023989E-1,2.853722287E0
5.482125370E-1,2.454328537E0,-1.938201904E0,1.197833717E-1,3.129649061E0
5.650099910E-1,2.632843018E0,-2.402089119E0,-2.278548181E-1,3.571248004E0
5.818090540E-1,2.762169838E0,-2.681510925E0,-6.403318048E-1,3.902577081E0
5.986172820E-1,2.567537785E0,-2.511123657E0,-8.643288612E-1,3.693921585E0
6.154412460E-1,1.934651852E0,-1.604727745E0,-9.781029820E-1,2.697167842E0
6.322293040E-1,1.288424969E0,2.566337585E-3,-7.023840547E-1,1.467442962E0
6.490519050E-1,9.156064987E-1,1.303373814E0,-4.411527812E-1,1.652795914E0
6.658627060E-1,7.757964134E-1,1.590680122E0,-1.556484252E-1,1.776611876E0
6.826710770E-1,8.625202179E-1,8.698396683E-1,-9.917859733E-2,1.228982737E0
6.994753580E-1,1.035763741E0,-1.340560913E-1,-7.527612150E-2,1.047112246E0
7.162812870E-1,7.990889549E-1,-6.617889404E-1,1.967331320E-1,1.056035835E0
7.330974590E-1,3.410530090E-1,-4.805021286E-1,7.151417732E-1,9.266213932E-1
7.499029920E-1,-2.751111984E-1,-1.807117462E-2,1.214251280E0,1.245158187E0
7.667102830E-1,-8.729429245E-1,2.737627029E-1,1.559215069E0,1.807796172E0
7.835165580E-1,-1.315353394E0,3.116922379E-1,1.598875165E0,2.093730736E0
8.003272080E-1,-1.728910446E0,1.349473000E-1,1.314451694E0,2.176034320E0
8.171401560E-1,-2.237710476E0,-3.969621658E-2,9.862974286E-1,2.445752764E0
8.339321070E-1,-2.512343884E0,-8.720588684E-2,6.674954891E-1,2.600966529E0
8.507544750E-1,-2.805377483E0,-3.656282425E-1,4.850117564E-1,2.870376846E0
8.675571080E-1,-2.952553511E0,-6.792478561E-1,3.109674156E-1,3.045595281E0
8.843664850E-1,-2.955276012E0,-9.906115532E-1,2.377546728E-1,3.125939034E0
9.011744300E-1,-3.036244869E0,-1.272991657E0,3.795748353E-1,3.314116431E0
9.179858920E-1,-3.241466761E0,-1.197683334E0,4.698953032E-1,3.487456627E0
9.347930410E-1,-3.345329285E0,-1.197445869E0,5.666139126E-1,3.598076703E0
9.516049620E-1,-3.328366280E0,-1.262752056E0,4.241029024E-1,3.585028329E0
9.684070760E-1,-3.178657770E0,-1.587665558E0,2.606287301E-1,3.562649924E0
9.852171350E-1,-2.880985737E0,-2.519888401E0,3.270801306E-1,3.841470784E0
1.002023634E0,-2.322528839E0,-4.482242107E0,9.205098152E-1,5.131468877E0
1.018840549E0,-2.191041946E0,-6.334424973E0,1.749518752E0,6.927223138E0
1.035639774E0,-2.632187366E0,-6.688894749E0,2.116469383E0,7.493274714E0
1.052447138E0,-3.096427917E0,-6.372787476E0,2.263414383E0,7.437965496E0
1.069256953E0,-2.629053116E0,-6.586415768E0,2.243907928E0,7.438273707E0
1.086052445E0,-1.662393093E0,-6.179471970E0,1.649628639E0,6.608380987E0
1.102869369E0,-6.622676849E-1,-5.254653931E0,8.954157829E-1,5.371383047E0
1.119685054E0,4.332394600E-1,-4.382266045E0,5.601555109E-1,4.439113235E0
1.136475348E0,1.114290237E0,-2.847912788E0,9.169881344E-1,3.192666162E0
1.153298773E0,1.103390694E0,-5.842218399E-1,1.603571653E0,2.032296294E0
1.170102780E0,9.987421036E-1,1.355359554E0,2.235450268E0,2.798521612E0
1.186923785E0,1.219609261E0,2.528108597E0,2.283501863E0,3.618447262E0
1.203723407E0,1.476392031E0,2.808376789E0,1.736618638E0,3.616981879E0
1.220533426E0,1.603831053E0,2.454776287E0,1.046385407E0,3.113378083E0
1.237332671E0,1.810846567E0,1.730452061E0,7.512600422E-1,2.614961047E0
1.254148345E0,1.769091368E0,1.386991024E0,5.257493854E-1,2.308644794E0
1.270951294E0,1.065347195E0,1.524426937E0,-3.088486195E-2,1.860052689E0
1.287761729E0,1.177349329E0,1.676877022E0,-5.306805372E-1,2.116527775E0
1.304558889E0,1.320766211E0,2.248342991E0,-1.016456246E0,2.798687708E0
1.321380016E0,1.538029194E0,2.844601154E0,-1.236902356E0,3.462256052E0
1.338189516E0,1.755173206E0,3.056498051E0,-1.670269728E0,3.900335150E0
1.354994203E0,2.009516954E0,3.403223038E0,-2.302598000E0,4.574061978E0
1.371803693E0,2.197628975E0,3.470244408E0,-3.032499552E0,5.105704936E0
1.388613742E0,2.419663191E0,3.324203491E0,-3.687970638E0,5.523244177E0
1.405419569E0,2.596701860E0,2.915893078E0,-4.039195061E0,5.617863449E0
1.422226536E0,2.412037134E0,2.261595249E0,-4.028942585E0,5.212016362E0
1.439042841E0,1.901081085E0,2.202271938E0,-4.364199638E0,5.245030931E0
1.455845351E0,1.448832273E0,2.329246998E0,-4.227855682E0,5.039768864E0
1.472652918E0,1.305107117E0,2.178630352E0,-3.746140003E0,4.525847956E0
1.489459437E0,1.332601547E0,1.645807266E0,-3.009478569E0,3.679873598E0
1.506265671E0,1.603022099E0,7.807884216E-1,-2.346494913E0,2.947091581E0
1.523076045E0,1.885753870E0,-5.157661438E-2,-1.532281637E0,2.430352818E0
1.539883816E0,2.078409672E0,-5.763282776E-1,-7.911251783E-1,2.297350669E0
1.556679562E0,2.307539940E0,-8.121862411E-1,-2.386831045E-1,2.457917144E0
1.573503953E0,2.527114391E0,-8.545436859E-1,3.233772516E-1,2.687215083E0
1.590308642E0,2.488172531E0,-8.015222549E-1,8.747878075E-1,2.756572905E0
1.607118447E0,2.194071293E0,-1.159128189E0,1.128644466E0,2.726053068E0
1.623926949E0,1.705994129E0,-1.430338860E0,1.000434995E0,2.440728457E0
1.640735056E0,1.440259457E0,-1.720561028E0,3.715410829E-1,2.274361521E0
1.657544128E0,1.459064960E0,-2.211140633E0,-6.185039282E-1,2.720397134E0
1.674349985E0,1.455638885E0,-2.653689384E0,-1.374337435E0,3.324117221E0
1.691157797E0,1.220655918E0,-2.236216545E0,-1.845936656E0,3.146132140E0
1.707964061E0,1.315318584E0,-1.529473305E0,-2.020250320E0,2.854954102E0
1.724762309E0,1.844738483E0,-7.304019928E-1,-2.034485340E0,2.841773697E0
1.741583122E0,2.536098003E0,-3.185377121E-1,-1.355873346E0,2.893380702E0
1.758391868E0,2.906095982E0,-2.633419037E-1,-5.230357647E-1,2.964508260E0
1.775201763E0,2.749320030E0,-7.558317184E-1,1.562456787E-1,2.855600625E0
1.791994571E0,1.992281914E0,-9.308452606E-1,6.673678160E-1,2.298051332E0
1.808803500E0,8.111095428E-1,-9.582834244E-1,8.545684814E-1,1.518714292E0
1.825623365E0,-1.667528152E-1,-9.924278259E-1,6.952513456E-1,1.223149183E0
1.842431615E0,-9.489827156E-1,-9.369106293E-1,3.903979063E-1,1.389525188E0
1.859238215E0,-1.557762623E0,-7.583951950E-1,1.563688964E-1,1.739608833E0
1.876049494E0,-2.118832111E0,-4.365468025E-1,-1.039425433E-1,2.165831637E0
1.892855158E0,-2.517184734E0,-4.290952682E-1,-3.286876678E-1,2.574563520E0
1.909664902E0,-3.137855530E0,-7.444291115E-1,-3.975737691E-1,3.249365620E0
1.926460078E0,-3.712178230E0,-9.600372314E-1,-6.982398033E-1,3.897368025E0
1.943280595E0,-4.046113014E0,-1.366725922E0,-1.017444015E0,4.390234913E0
1.960088915E0,-4.357004166E0,-1.616636276E0,-1.213232279E0,4.803012670E0
1.976899125E0,-4.731208801E0,-1.745230675E0,-1.190220594E0,5.181388993E0
1.993715593E0,-4.737195015E0,-1.790990829E0,-1.165106297E0,5.196742965E0
2.010513599E0,-4.588613510E0,-1.984762192E0,-9.960403442E-1,5.097720203E0
2.027308897E0,-4.539513588E0,-1.934144974E0,-7.624926567E-1,4.992944567E0
2.044129942E0,-4.367069244E0,-2.531446934E0,-3.295040429E-1,5.058467187E0
2.060943552E0,-3.865922928E0,-3.414915085E0,2.002355456E-2,5.158236720E0
2.077750203E0,-3.086043835E0,-4.806419849E0,3.694403768E-1,5.723794590E0
2.094550434E0,-2.457973480E0,-5.889698029E0,8.376123309E-1,6.436751581E0
2.111358643E0,-2.078240871E0,-6.013259888E0,1.404815435E0,6.515511185E0
2.128173208E0,-1.945885181E0,-5.527163506E0,1.869510531E0,6.150697130E0
2.144978394E0,-1.952506065E0,-4.852057934E0,2.203323364E0,5.675330825E0
2.161789898E0,-1.747154236E0,-4.411935329E0,2.144860744E0,5.207508895E0
2.178593884E0,-1.007117271E0,-4.598420143E0,1.726493478E0,5.014033580E0
2.195405214E0,-2.099699974E-1,-4.710843086E0,1.503997087E0,4.949559296E0
2.212209740E0,5.736055374E-1,-4.873579979E0,1.445570111E0,5.115708951E0
2.229019402E0,1.246538162E0,-4.560584545E0,1.866824031E0,5.083091652E0
2.245826857E0,1.204108715E0,-2.780030251E0,2.216734648E0,3.753979021E0
2.262635279E0,1.281654358E0,-8.624739647E-1,2.329676151E0,2.795333648E0
2.279445093E0,1.742320538E0,5.045328140E-1,2.263184071E0,2.900385553E0
2.296252283E0,2.011152267E0,1.597832203E0,1.879192829E0,3.182635210E0
2.313051824E0,1.993862152E0,2.372748852E0,1.262701750E0,3.346616068E0
2.329868973E0,1.817444801E0,2.533458710E0,4.190708697E-1,3.145971874E0
2.346664862E0,1.853569508E0,1.818832874E0,1.612769067E-1,2.601899918E0
2.363483466E0,1.990658283E0,1.785245419E0,1.674251109E-1,2.679151502E0
2.380292051E0,1.961955070E0,2.502926826E0,1.081337035E-1,3.182075313E0
2.397105080E0,1.881766319E0,3.394535065E0,-1.099366248E-1,3.882782359E0
2.413913765E0,2.092504025E0,3.772583008E0,-3.918002248E-1,4.331796747E0
2.430716683E0,2.342903137E0,3.801805973E0,-7.970548868E-1,4.536322328E0
