"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.004393400E-2,-2.603089333E0,5.958452225E-1,7.049722672E0,7.538547297E0
3.685142900E-2,-1.447377205E0,-3.451681137E0,3.693959713E0,5.258739564E0
5.365849700E-2,-2.961699009E0,-8.955060959E0,4.489300728E0,1.044598482E1
7.046779400E-2,-5.774641037E-2,-7.991665840E0,-1.250063419E1,1.483697789E1
8.727206400E-2,1.937683463E0,-5.588813782E0,-5.641901016E0,8.174380941E0
1.040859380E-1,1.818302393E0,-7.982444763E-1,-3.917341232E-1,2.024073482E0
1.208916740E-1,5.115784407E-1,2.682067871E0,-8.784800768E-1,2.868262159E0
1.377014790E-1,1.171687126E0,5.249049187E0,1.538103580E0,5.593847577E0
1.545040100E-1,3.890366554E-1,6.177474976E0,5.180696249E-1,6.211355949E0
1.713164180E-1,-2.969045639E-1,4.373081207E0,5.807192326E-1,4.421450711E0
1.881241790E-1,-1.843199134E0,4.513985157E0,-3.776576519E0,6.167331291E0
2.049324070E-1,-3.257369995E-1,4.197339535E0,1.067996502E0,4.343314436E0
2.217406250E-1,-4.451997280E-1,1.622859478E0,3.790068388E0,4.146865572E0
2.385486900E-1,2.743148804E-2,-2.238456726E0,-2.767829657E0,3.559820502E0
2.553598260E-1,-2.804286957E0,-5.231647491E0,-1.389656544E0,6.096335467E0
2.721635790E-1,-3.705207109E0,-8.493652344E-1,-1.332603216E0,4.028127649E0
2.889787140E-1,-9.974489212E-1,3.244807243E0,-1.351449490E0,3.653778061E0
3.057822320E-1,-2.937089443E0,4.138855457E0,-1.095169830E1,1.207047284E1
3.225912030E-1,3.109715462E0,-2.289796352E0,1.327266884E1,1.382306897E1
3.394008650E-1,-2.870098829E0,-7.251452446E0,4.708368301E0,9.109871675E0
3.562045870E-1,-4.531684875E0,6.204686165E-1,-1.833805323E0,4.927878963E0
3.730090710E-1,-2.504143238E0,2.509312153E0,-3.801049232E0,5.197629855E0
3.898257020E-1,2.029891014E-1,-1.500935078E0,-4.579598427E0,4.823560141E0
4.066326580E-1,1.628942490E-1,-8.440442085E-1,6.834173203E-1,1.098182315E0
4.234429610E-1,1.148962975E0,-1.016641617E0,-1.774286985E0,2.345585300E0
4.402483820E-1,1.647006989E0,1.238283157E0,4.218210220E0,4.694600586E0
4.570594580E-1,-6.630616188E-1,3.634957314E0,6.571963310E0,7.539447402E0
4.738687130E-1,2.404751778E-1,3.323875427E0,4.765271664E0,5.814962613E0
4.906719870E-1,7.498693466E-2,1.393566132E0,2.467413425E0,2.834744894E0
5.074813960E-1,4.676539421E0,-3.782488823E0,6.417435408E-1,6.048890595E0
5.242918810E-1,4.851173401E0,-8.056693077E-1,-1.045773268E0,5.027586710E0
5.410985440E-1,3.043665886E0,2.213942528E0,-4.897385597E0,6.176554803E0
5.579073600E-1,3.091545582E0,2.776279449E0,-6.892532349E0,8.048129214E0
5.747149270E-1,2.841013432E0,1.665378094E0,-3.399824500E-1,3.310653950E0
5.915235000E-1,2.075804710E0,1.364651203E0,4.182128429E0,4.864302242E0
6.083230210E-1,2.001151085E0,5.385751724E-1,3.952532053E0,4.462866625E0
6.251446360E-1,-1.927471161E-2,1.111931324E0,4.185352802E0,4.330582047E0
6.419285510E-1,-1.540564060E0,2.025986671E0,4.520786762E0,5.188012391E0
6.587576540E-1,4.485554695E-1,-1.684745312E0,8.817776442E-1,1.953740154E0
6.755534920E-1,1.201215267E0,-4.101461411E0,1.195259809E0,4.437741524E0
6.923747400E-1,2.157578468E0,-5.198851109E0,2.579333544E0,6.191620081E0
7.091841690E-1,2.066609859E0,-3.211706161E0,3.050619602E0,4.887966114E0
7.259857640E-1,1.488328934E0,-4.863357544E-1,3.141706467E0,3.510265660E0
7.428009090E-1,1.059068203E0,8.547301292E-1,2.483303308E0,2.831781131E0
7.596035940E-1,3.101344109E-1,2.058642149E0,1.650413513E0,2.656700136E0
7.764068980E-1,3.730750084E-1,2.275851965E0,1.919021130E0,3.000221529E0
7.932414520E-1,2.487115860E-1,2.318824053E0,1.401183724E0,2.720683420E0
