"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.793571800E-2,-1.044860721E0,1.385962367E0,-6.121101379E-1,1.840463102E0
3.475859200E-2,-6.394304633E-1,1.605072021E0,-5.324068069E-1,1.807922708E0
5.157252400E-2,-4.829427898E-1,1.665249944E0,-1.599035263E-1,1.741223780E0
6.838223700E-2,-2.522488236E-1,1.430040717E0,3.187189102E-1,1.486683445E0
8.518036100E-2,-1.800127029E-1,1.295554399E0,-2.221202850E-1,1.326726496E0
1.019935720E-1,-6.812829971E-1,1.830911875E0,-2.585258484E-1,1.970588854E0
1.187916060E-1,-9.458302259E-1,2.247838020E0,-5.836486816E-2,2.439421456E0
1.356040320E-1,-5.162374973E-1,1.995096445E0,-2.073516846E-1,2.071208753E0
1.524188720E-1,-2.180208862E-1,1.524442196E0,-5.988245010E-1,1.652285659E0
1.692216460E-1,1.838714480E-1,9.993422031E-1,-3.385171890E-1,1.071021678E0
1.860283660E-1,2.651730776E-1,6.865705848E-1,1.395196915E-1,7.491072508E-1
2.028375180E-1,-1.217160597E-1,1.133895516E0,2.618694305E-1,1.170089501E0
2.196432830E-1,-2.966610193E-1,1.541244745E0,5.308265686E-1,1.656870535E0
2.364518450E-1,-3.374884427E-1,1.541380167E0,3.417844772E-1,1.614486884E0
2.532584130E-1,-3.282706738E-1,1.370263577E0,-1.223850250E-2,1.409089665E0
2.700656010E-1,-7.002024353E-2,9.723389745E-1,3.662967682E-1,1.041402534E0
2.868739090E-1,2.161941826E-1,8.067609668E-1,1.426817894E0,1.653303507E0
3.036818710E-1,6.180145741E-1,2.003031969E-1,2.146450043E0,2.242612577E0
3.204882350E-1,7.997735143E-1,-4.496142566E-1,1.742608070E0,1.969384051E0
3.372968890E-1,3.715734482E-1,-1.874511838E-1,6.070165634E-1,7.359849740E-1
3.541041290E-1,-7.462048531E-2,4.808084369E-1,-5.412216187E-1,7.277814303E-1
3.709067190E-1,4.483497143E-2,2.493242621E-1,-1.090812683E-1,2.758105971E-1
3.877209980E-1,7.995894551E-1,-9.270333648E-1,7.739210129E-1,1.448339701E0
4.045290220E-1,1.168801785E0,-1.990226865E0,1.103157043E0,2.558135268E0
4.213341040E-1,1.244506359E0,-2.617287874E0,9.107570648E-1,3.037839747E0
4.381298090E-1,8.898223639E-1,-2.420870066E0,-1.668262482E-2,2.579277811E0
4.549491010E-1,3.938449919E-1,-1.577800393E0,-1.069195747E0,1.946213633E0
4.717556090E-1,2.715498209E-1,-8.790574074E-1,-1.556689262E0,1.808248515E0
4.885577630E-1,8.177866936E-1,-3.473677039E-1,-1.620817184E0,1.848374352E0
5.053569250E-1,1.201921225E0,9.052187204E-2,-9.952116013E-1,1.563091479E0
5.221790670E-1,1.290301085E0,2.242112160E-2,1.468143463E-1,1.298820252E0
5.389965920E-1,1.308109045E0,-6.675509810E-1,1.693517685E0,2.241601154E0
5.557925390E-1,1.267280340E0,-1.670239210E0,1.989206314E0,2.890093466E0
5.726030750E-1,1.029508710E0,-1.687564373E0,8.714361191E-1,2.160361684E0
5.894074870E-1,7.568759918E-1,-9.966827035E-1,-9.667406082E-1,1.581399722E0
6.062156510E-1,5.894213915E-1,2.253340781E-1,-2.053756237E0,2.148512905E0
6.230207450E-1,3.414582014E-1,1.183706760E0,-2.313864231E0,2.621397161E0
6.398309130E-1,4.527980387E-1,1.504128695E0,-1.560940742E0,2.214489827E0
6.566380410E-1,7.459619045E-1,1.347272277E0,-3.994989395E-1,1.590974907E0
6.734449860E-1,7.977298498E-1,1.041841269E0,3.855895996E-2,1.312742524E0
6.902507910E-1,4.627623856E-1,8.303730488E-1,-4.425334930E-2,9.516442532E-1
7.070588440E-1,2.172014415E-1,7.719054222E-1,-5.681991577E-3,8.019019467E-1
7.238677630E-1,-7.606208324E-3,7.328442335E-1,1.281833649E-2,7.329957945E-1
7.406749100E-1,-2.878315449E-1,7.764617801E-1,-8.114337921E-2,8.320601794E-1
7.574785900E-1,-5.753069520E-1,1.061362267E0,-1.560306549E-2,1.207357199E0
