"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.000512000E-3,-6.035194397E-1,1.159978151E0,1.482269764E-1,1.315962105E0
2.581698000E-2,1.053771973E-1,1.798160791E0,9.413838387E-2,1.803704139E0
4.262492300E-2,7.873487473E-1,5.998008847E-1,-6.658022404E-1,1.192883806E0
5.943319100E-2,9.537973404E-1,-3.173105717E-1,-1.357262492E0,1.688957323E0
7.622408500E-2,5.120182037E-1,-5.032553077E-1,-1.328889728E0,1.510422608E0
9.305365600E-2,-1.817722321E-1,-1.452670097E-1,-1.030310869E0,1.056259502E0
1.098646810E-1,-8.070249557E-1,1.792943478E-2,-2.332998514E-1,8.402616048E-1
1.266668660E-1,-1.264522552E0,5.582755804E-2,-3.622338772E-1,1.316566513E0
1.434699170E-1,-1.508092880E0,1.355435252E-1,-4.130413532E-1,1.569496525E0
1.602792120E-1,-1.525894165E0,3.936455846E-1,-8.148785830E-1,1.774073548E0
1.770950190E-1,-1.316576958E0,5.396251678E-1,-1.430265903E0,2.017481292E0
1.938874290E-1,-7.759618759E-1,4.456369281E-1,-2.026083946E0,2.214887189E0
2.107147500E-1,8.370208740E-2,2.731084824E-4,-2.064236879E0,2.065933205E0
2.275141680E-1,8.639631271E-1,-1.425317228E-1,-1.557176471E0,1.786489893E0
2.443259370E-1,1.160856247E0,7.305989265E-1,-1.346380472E0,1.922004785E0
2.611211030E-1,1.115217209E0,1.988268852E0,-2.204450130E0,3.171202111E0
2.779411620E-1,1.247021675E0,2.127134323E0,-2.465901852E0,3.487181588E0
2.947484650E-1,1.545672417E0,3.752220869E-1,-1.342050552E0,2.081104159E0
3.115594690E-1,1.966650963E0,-1.434748530E0,-1.872467995E-1,2.441573411E0
3.283655810E-1,2.202181816E0,-2.775045872E0,-1.914148211E0,4.026716742E0
3.451754980E-1,2.419544220E0,-3.821673393E0,-4.523904324E0,6.397272238E0
3.619826990E-1,3.326504707E0,-4.494818687E0,-3.847131252E0,6.787447788E0
3.787908040E-1,4.040998459E0,-4.124726772E0,-4.948205948E-1,5.795505751E0
3.956002740E-1,4.159195900E0,-2.328291416E0,2.752397776E0,5.504138894E0
4.124129270E-1,2.515666962E0,-2.357497513E-1,1.974781275E0,3.206855047E0
4.292168920E-1,-2.025051117E-1,9.679366350E-1,-7.170531154E-2,9.914894358E-1
4.460125780E-1,-2.070117474E0,1.011538982E0,-7.390163541E-1,2.419657546E0
4.628331850E-1,-2.990297794E0,1.288405895E0,1.005118728E0,3.407658185E0
4.796413210E-1,-3.565863609E0,9.878886938E-1,1.737976313E0,4.088015290E0
4.964514120E-1,-3.750936508E0,1.386392593E0,1.905664206E0,4.429804192E0
5.132599950E-1,-2.944274902E0,1.236256123E0,1.001974463E0,3.346794993E0
5.300528220E-1,-1.451944351E0,5.868412852E-1,3.251283169E-1,1.599447878E0
5.468737460E-1,-5.230960846E-1,1.618587375E-1,1.006232023E0,1.145570011E0
5.636786060E-1,6.726741791E-2,-3.601337969E-1,1.863283396E0,1.898959260E0
5.804966910E-1,3.671369553E-1,-9.382456541E-1,2.628917217E0,2.815368570E0
5.972867510E-1,-2.002716064E-5,-1.365946412E0,1.356058121E0,1.924760564E0
6.141020280E-1,-5.518436432E-1,-1.566219211E0,6.760311127E-2,1.661969977E0
6.309229220E-1,-7.620668411E-1,-1.515802622E0,-4.011902809E-1,1.743375204E0
6.477240790E-1,-1.009106636E0,-1.447210789E0,-1.969916821E-1,1.775252374E0
6.645242310E-1,-1.143340111E0,-1.011746645E0,-1.700220108E-1,1.536152781E0
6.813357140E-1,-1.147792816E0,-5.906167030E-1,-1.085782051E-1,1.295394019E0
6.981489770E-1,-1.179340363E0,-3.060061336E-1,-4.393702149E-1,1.295194823E0
7.149558120E-1,-1.193025589E0,-4.152372479E-1,-3.164319396E-1,1.302252357E0
7.317694300E-1,-1.275382996E0,-2.123420238E-1,-5.267716646E-1,1.396130118E0
7.485741480E-1,-1.132943153E0,2.897236943E-1,-4.778646827E-1,1.263271413E0
7.653866600E-1,-1.089215279E0,8.309467435E-1,-5.919232965E-1,1.492392577E0
7.821901680E-1,-1.045433044E0,1.299462438E0,-9.260964990E-1,1.907665485E0
7.989978660E-1,-9.508762360E-1,1.655636072E0,-1.153284550E0,2.230551876E0
8.158077730E-1,-6.428546906E-1,1.800301313E0,-1.230142236E0,2.273234896E0
8.326168870E-1,-1.680097580E-1,1.635586023E0,-1.042862415E0,1.947031314E0
8.494296920E-1,4.853658676E-1,7.764650583E-1,-1.800341845E0,2.019828896E0
8.662303520E-1,1.329022408E0,4.445030093E-1,-3.424473047E0,3.700121503E0
8.830435540E-1,2.188511848E0,3.737708330E-1,-4.376952171E0,4.907850757E0
8.998508150E-1,2.637394905E0,-5.512697697E-1,-4.160841942E0,4.957051130E0
9.166584740E-1,2.802235603E0,-1.115014791E0,-4.121727467E0,5.107290835E0
9.334660710E-1,3.058905602E0,-1.404185772E0,-4.985550404E0,6.015343214E0
9.502590900E-1,3.834526062E0,-9.319645166E-1,-2.145239353E0,4.491569866E0
9.670855480E-1,4.792483330E0,1.060573101E0,3.854185104E0,6.240789580E0
9.838830940E-1,4.939399719E0,8.892256021E-1,4.175280571E0,6.528503627E0
1.000698189E0,4.472523689E0,-3.690404594E-1,3.258212805E0,5.545774039E0
1.017497994E0,3.106673241E0,-6.556846499E-1,2.244966507E0,3.888600725E0
1.034315682E0,1.398018837E0,-5.889326930E-1,5.235643387E-1,1.604810893E0
1.051111531E0,-1.278276443E-1,-6.983260512E-1,-1.087990522E0,1.299123765E0
1.067933481E0,-1.140195847E0,-8.805010319E-1,-1.535888910E-1,1.448764364E0
1.084740844E0,-1.986642838E0,-1.399394393E0,1.476502657E0,2.843433581E0
1.101550609E0,-2.726783276E0,-2.143860102E0,1.189299822E0,3.666867496E0
1.118357321E0,-3.197542191E0,-2.313624382E0,2.211037874E-1,3.952976186E0
1.135165651E0,-3.739339352E0,-5.281883478E-1,3.670114040E0,5.266059132E0
1.151975710E0,-3.896539211E0,4.264749289E-1,3.566035986E0,5.299199123E0
1.168781659E0,-3.851026058E0,5.766864419E-1,2.597138405E0,4.680608598E0
1.185590518E0,-3.521804333E0,5.157499313E-1,5.237158537E-1,3.597691210E0
1.202388736E0,-2.889243126E0,1.389395595E0,6.633651257E-2,3.206640998E0
1.219211805E0,-2.044720650E0,1.577981114E0,-7.025365829E-1,2.676651749E0
1.236015670E0,-1.442156792E0,1.197556257E0,-1.174543738E0,2.212127979E0
1.252823887E0,-8.831024170E-1,6.398637295E-1,-1.436989665E0,1.803949769E0
