"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.410665600E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
2.902842500E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
3.395003600E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
3.887188000E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
4.379395700E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
4.871583900E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
5.363768500E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
5.855953100E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
6.348118500E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
6.840295200E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
7.332482200E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
7.824666800E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
8.316851400E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
8.809014600E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
9.301199000E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
9.793383600E-2,4.714800045E-2,-1.574300043E-2,2.050700039E-2,5.377093149E-2
1.028557120E-1,5.038999952E-3,-3.789500147E-2,-8.464899659E-2,9.288097373E-2
1.077775580E-1,-2.559999994E-4,-4.647399858E-2,-6.130899861E-2,7.693303186E-2
1.126994040E-1,1.485299971E-2,-2.906199917E-2,-3.784999996E-2,4.997833424E-2
1.176212700E-1,3.808899969E-2,-4.467000067E-2,-2.914099954E-2,6.553913878E-2
1.225431160E-1,4.639299959E-2,-6.208499894E-2,-2.080300078E-2,8.024725755E-2
1.274649620E-1,4.296699911E-2,-6.729800254E-2,-1.257499959E-2,8.082892288E-2
1.323867940E-1,6.248600036E-2,-5.324300006E-2,2.903899923E-2,8.707801544E-2
1.373085650E-1,3.559799865E-2,-5.088000000E-2,4.425999895E-2,7.625575004E-2
1.422301610E-1,2.360600047E-2,-3.850800171E-2,8.321499825E-2,9.468286744E-2
1.471522360E-1,7.325999904E-3,2.351999981E-3,1.295250058E-1,1.297533403E-1
1.520740840E-1,-1.760699973E-2,1.523599960E-2,1.658959985E-1,1.675220118E-1
1.569956990E-1,-4.953000229E-3,2.022800036E-2,1.858589947E-1,1.870221113E-1
1.619177740E-1,7.249000017E-3,1.834799908E-2,1.744929999E-1,1.756046813E-1
1.668393920E-1,6.342200190E-2,3.511400148E-2,1.513479948E-1,1.678140607E-1
1.717612360E-1,5.761799961E-2,2.840499952E-2,1.590840071E-1,1.715645628E-1
1.766830820E-1,3.123199940E-2,5.471900105E-2,1.527969986E-1,1.652771298E-1
1.816049430E-1,2.199600078E-2,6.870499998E-2,1.443489939E-1,1.613717234E-1
1.865267890E-1,-1.479199994E-2,5.429600179E-2,1.381759942E-1,1.491960604E-1
1.914486110E-1,-2.720900066E-2,5.894799903E-2,1.416630000E-1,1.558319668E-1
1.963701520E-1,-2.990300022E-2,4.938500002E-2,1.474699974E-1,1.583681401E-1
2.012922220E-1,-3.928299993E-2,5.624900013E-2,1.487070024E-1,1.637708053E-1
2.062140700E-1,-3.779999912E-3,3.931299970E-2,1.474319994E-1,1.526302552E-1
2.111359300E-1,5.406000186E-3,2.992999926E-2,1.291899979E-1,1.327218341E-1
2.160575460E-1,1.696000062E-2,1.299200021E-2,9.918799996E-2,1.014627667E-1
2.209793130E-1,-1.203999971E-3,-1.725300029E-2,1.117770001E-1,1.131070882E-1
2.259012220E-1,-1.619499922E-2,-2.494700067E-2,1.132239997E-1,1.170653875E-1
2.308229930E-1,1.365000010E-2,-6.298699975E-2,1.285610050E-1,1.438110449E-1
2.357448370E-1,6.154699996E-2,-5.830699950E-2,1.272809952E-1,1.529319821E-1
2.406667500E-1,6.406100094E-2,-6.830299646E-2,1.022370011E-1,1.386416804E-1
2.455885220E-1,8.073800057E-2,-7.222100347E-2,2.273200080E-2,1.106853285E-1
2.505103660E-1,3.172000125E-2,-2.400399931E-2,7.051199675E-2,8.095858291E-2
2.554321980E-1,9.565000422E-3,4.575999919E-3,9.226000309E-2,9.286730953E-2
2.603538150E-1,-3.764399886E-2,3.738100082E-2,1.048280001E-1,1.174875290E-1
2.652758700E-1,-6.744000316E-2,5.570600182E-2,1.103229970E-1,1.407923163E-1
2.701974880E-1,-9.643000364E-2,9.004399925E-2,9.474100173E-2,1.624269830E-1
2.751192600E-1,-1.087170020E-1,1.472750008E-1,9.650699794E-2,2.069369784E-1
2.800411060E-1,-1.139310002E-1,1.389899999E-1,9.173399955E-2,2.017761620E-1
2.849630290E-1,-8.717100322E-2,1.129380018E-1,9.805600345E-2,1.731148632E-1
2.898847950E-1,-5.942200124E-2,1.121720001E-1,3.304899856E-2,1.311707595E-1
2.948066400E-1,-3.305200115E-2,1.019750014E-1,1.336400025E-2,1.080274604E-1
2.997284860E-1,-1.699800044E-2,7.112400234E-2,-9.269000031E-3,7.371207560E-2
3.046503180E-1,-2.033899911E-2,4.724200070E-2,2.766000107E-3,5.150856503E-2
3.095721640E-1,-1.208600029E-2,4.738400131E-2,-2.029000083E-3,4.894314891E-2
3.144940100E-1,-8.867999539E-3,1.115999999E-3,1.387500018E-2,1.650462062E-2
3.194155360E-1,-5.977999885E-3,3.506499901E-2,-2.464099973E-2,4.327204070E-2
3.243374570E-1,1.978999935E-2,2.856400050E-2,-1.788000017E-2,3.907992586E-2
3.292593030E-1,3.316299990E-2,5.710100010E-2,-2.502099983E-2,7.061415727E-2
3.341811830E-1,2.026199922E-2,4.600900039E-2,-4.338600114E-2,6.640573638E-2
3.391030290E-1,2.386800013E-2,4.844899848E-2,-6.369400024E-2,8.350995480E-2
3.440248990E-1,-2.090000053E-4,4.747699946E-2,-1.001119986E-1,1.107994649E-1
3.489466710E-1,-5.272999872E-3,4.350899905E-2,-1.194429994E-1,1.272299793E-1
