"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.335518600E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
2.827739300E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
3.319977500E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
3.812194000E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
4.304417100E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
4.796623400E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
5.288846300E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
5.781061800E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
6.273275200E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
6.765513500E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
7.257729100E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
7.749951000E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
8.242189400E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
8.734412700E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
9.226628600E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
9.718866800E-2,-5.506355762E0,-2.873867035E0,2.135498047E0,6.568060401E0
1.021105260E-1,1.018599980E-2,1.371980011E-1,5.200099945E-2,1.470753210E-1
1.070329080E-1,-1.731099933E-2,7.342600077E-2,1.328330040E-1,1.527601232E-1
1.119550640E-1,-1.422400028E-2,3.627799824E-2,2.108380049E-1,2.144086744E-1
1.168773080E-1,-5.163300037E-2,1.127899997E-2,2.604010105E-1,2.657101218E-1
1.217994640E-1,-7.253699750E-2,7.709999918E-4,2.728450000E-1,2.823235812E-1
1.267218460E-1,-6.797800213E-2,1.193500031E-2,2.724710107E-1,2.810763325E-1
1.316439530E-1,-5.270199850E-2,-5.528999958E-3,2.359009981E-1,2.417795512E-1
1.365661820E-1,-8.058000356E-3,1.310699992E-2,2.273000032E-1,2.278201402E-1
1.414885670E-1,2.142000012E-3,9.415899962E-2,2.367590070E-1,2.548044991E-1
1.464107890E-1,-4.070000141E-4,1.849559993E-1,2.522079945E-1,3.127583089E-1
1.513329430E-1,4.093400016E-2,2.904239893E-1,3.039259911E-1,4.223655928E-1
1.562553260E-1,6.658700109E-2,3.746969998E-1,3.936530054E-1,5.475348016E-1
1.611774490E-1,1.856499910E-2,5.333669782E-1,4.739260077E-1,7.137442493E-1
1.660996030E-1,-5.003400147E-2,6.514070034E-1,5.239239931E-1,8.374549755E-1
1.710217560E-1,-8.226999640E-2,7.910450101E-1,5.538210273E-1,9.691430702E-1
1.759439890E-1,-1.398079991E-1,8.898969889E-1,5.453500152E-1,1.053028759E0
1.808661450E-1,-2.126830071E-1,9.981700182E-1,5.181570053E-1,1.144580329E0
1.857885280E-1,-2.488150001E-1,1.079978943E0,4.795970023E-1,1.207591283E0
