"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.126979600E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
3.619225600E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
4.111464200E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
4.603681000E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
5.095904100E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
5.588119500E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
6.080333400E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
6.572571600E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
7.064795400E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
7.557033700E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
8.049256900E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
8.541469900E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
9.033708200E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
9.525931500E-2,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
1.001816730E-1,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
1.051039060E-1,8.118330240E-1,7.193880081E-1,-1.752659976E-1,1.098776654E0
1.100262890E-1,1.322769970E-1,-1.194370016E-1,-2.240470052E-1,2.862856298E-1
1.149484160E-1,2.111019939E-1,-6.047999859E-2,-3.642539978E-1,4.253267649E-1
1.198706440E-1,1.291680038E-1,1.104400028E-2,-5.207549930E-1,5.366489596E-1
1.247930090E-1,7.697799802E-2,4.324400052E-2,-5.439209938E-1,5.510405641E-1
1.297151650E-1,-9.922000021E-2,2.169290036E-1,-6.114529967E-1,6.563364749E-1
1.346373190E-1,-3.078869879E-1,3.351890147E-1,-5.585039854E-1,7.204670531E-1
1.395597730E-1,-4.148040116E-1,5.487509966E-1,-5.124340057E-1,8.577753986E-1
1.444819290E-1,-3.895860016E-1,7.497540116E-1,-4.544630051E-1,9.593982247E-1
1.494041560E-1,-2.752049863E-1,8.927540183E-1,-4.058249891E-1,1.018548695E0
1.543263100E-1,-1.955749989E-1,9.801440239E-1,-3.354989886E-1,1.054272953E0
1.592486920E-1,-1.312399954E-1,1.002359033E0,-2.506760061E-1,1.041530617E0
1.641709440E-1,-8.418899775E-2,1.000362039E0,-2.100500017E-1,1.025637850E0
1.690933270E-1,-4.000800103E-2,1.012541056E0,-1.869170070E-1,1.030426124E0
1.740155600E-1,-1.110699996E-1,9.959300160E-1,-1.665689945E-1,1.015853519E0
