"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.532575500E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
3.024793800E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
3.517032100E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
4.009255300E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
4.501492100E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
4.993707700E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
5.485930600E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
5.978168900E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
6.470415100E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
6.962638400E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
7.454874200E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
7.947097500E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
8.439343500E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
8.931556700E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
9.423794900E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
9.916038600E-2,-5.141200125E-2,2.619924068E0,6.105721951E0,6.644282193E0
1.040825420E-1,5.681000184E-3,-8.332700133E-1,-2.309235096E0,2.454982264E0
1.090047320E-1,-5.316999927E-2,-8.087800145E-1,-2.123420954E0,2.272854748E0
1.139271150E-1,-6.101400033E-2,-8.074129820E-1,-1.964182973E0,2.124535992E0
1.188493340E-1,-3.951999824E-3,-7.935690284E-1,-1.779628992E0,1.948549915E0
1.237717160E-1,5.076200143E-2,-7.791529894E-1,-1.596145034E0,1.776889172E0
1.286941780E-1,3.096799925E-2,-7.610899806E-1,-1.435564995E0,1.625135019E0
1.336163000E-1,-8.175999857E-3,-7.204769850E-1,-1.343304992E0,1.524343214E0
1.385385310E-1,-5.756000057E-3,-7.348170280E-1,-1.264876962E0,1.462840704E0
1.434609900E-1,7.188700140E-2,-7.324380279E-1,-1.200216055E0,1.407889124E0
1.483833260E-1,2.316749990E-1,-7.453780174E-1,-1.126824975E0,1.370764830E0
1.533057870E-1,3.294430077E-1,-7.521749735E-1,-1.120975971E0,1.389563606E0
1.582279430E-1,3.141109943E-1,-7.454659939E-1,-1.118976951E0,1.380758734E0
1.631501550E-1,2.018830031E-1,-7.263529897E-1,-1.168295026E0,1.390416729E0
1.680725380E-1,7.422699779E-2,-6.917189956E-1,-1.280267000E0,1.457075292E0
1.729947510E-1,-6.420300156E-2,-7.135390043E-1,-1.440469027E0,1.608791768E0
1.779171340E-1,-4.500199854E-2,-7.461969852E-1,-1.471722960E0,1.650697911E0
1.828393470E-1,7.472500205E-2,-7.711120248E-1,-1.445603013E0,1.640111475E0
1.877617290E-1,1.855300069E-1,-7.918570042E-1,-1.469419956E0,1.679480249E0
1.926841910E-1,2.228990048E-1,-7.412120104E-1,-1.492117047E0,1.680920133E0
1.976063280E-1,1.846520007E-1,-6.961249709E-1,-1.487290978E0,1.652489271E0
2.025285590E-1,1.831749976E-1,-6.308069825E-1,-1.418846965E0,1.563520783E0
2.074510180E-1,2.204249948E-1,-5.505290031E-1,-1.341694951E0,1.466906508E0
2.123734850E-1,2.252759933E-1,-4.810020030E-1,-1.201014042E0,1.313220061E0
2.172956410E-1,2.617560029E-1,-4.158360064E-1,-8.920210004E-1,1.018399359E0
2.222181000E-1,3.201470077E-1,-3.255920112E-1,-5.035589933E-1,6.797616671E-1
2.271404700E-1,3.931609988E-1,-2.220699936E-1,-1.745499969E-1,4.841057265E-1
2.320626260E-1,4.170080125E-1,-1.173169985E-1,1.838600077E-2,4.335862148E-1
2.369847840E-1,4.043349922E-1,-8.678999729E-3,1.780889928E-1,4.419024783E-1
2.419072440E-1,4.855799973E-1,8.682499826E-2,5.456539989E-1,7.355710710E-1
2.468294630E-1,5.800719857E-1,1.987240016E-1,9.483799934E-1,1.129335800E0
2.517518450E-1,5.680840015E-1,2.402060032E-1,1.318508983E0,1.455638792E0
2.566743070E-1,5.362750292E-1,2.784009874E-1,1.569795966E0,1.682069378E0
2.615964620E-1,5.436879992E-1,2.547630072E-1,1.847870946E0,1.942968827E0
2.665189210E-1,5.048270226E-1,2.692349851E-1,2.073939085E0,2.151409103E0
2.714410770E-1,4.433709979E-1,3.118210137E-1,2.320019960E0,2.382499277E0
2.763636240E-1,3.397580087E-1,2.783820033E-1,2.572987080E0,2.610209677E0
2.812860100E-1,2.806760073E-1,2.279479951E-1,2.877104044E0,2.899735676E0
2.862081640E-1,3.648490012E-1,1.347749978E-1,3.340008020E0,3.362578277E0
2.911306150E-1,4.170260131E-1,8.725500107E-2,3.758316994E0,3.782389556E0
2.960525400E-1,2.957459986E-1,7.271199673E-2,3.947967052E0,3.959696526E0
3.009749260E-1,4.356700182E-2,2.851600014E-2,4.067172050E0,4.067505345E0
3.058973880E-1,-2.350309938E-1,-5.288700014E-2,4.130486012E0,4.137505443E0
3.108196210E-1,-4.568729997E-1,-9.591499716E-2,4.131105900E0,4.157399257E0
3.157420280E-1,-6.246479750E-1,-1.466380060E-1,4.083621025E0,4.133720899E0
3.206642610E-1,-7.478799820E-1,-1.604020000E-1,3.976336956E0,4.049235589E0
3.255866440E-1,-7.834569812E-1,-1.617899984E-1,3.828610897E0,3.911296747E0
3.305088720E-1,-7.095199823E-1,-1.038080007E-1,3.657469034E0,3.727100004E0
3.354313310E-1,-6.657299995E-1,-2.548100054E-2,3.410406113E0,3.474869144E0
3.403537180E-1,-5.844960213E-1,8.183299750E-2,3.080466032E0,3.136495371E0
3.452759490E-1,-5.392789841E-1,1.957589984E-1,2.691768885E0,2.752228758E0
3.501984080E-1,-4.749340117E-1,3.036670089E-1,2.268387079E0,2.337382277E0
3.551205590E-1,-3.459919989E-1,4.598129988E-1,1.901458025E0,1.986625551E0
