"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.674585300E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
3.166810300E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
3.659056300E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
4.151302400E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
4.643545200E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
5.135791300E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
5.628030000E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
6.120272600E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
6.612495800E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
7.104737000E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
7.596975700E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
8.089221600E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
8.581444900E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
9.073690800E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
9.565928000E-2,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
1.005817400E-1,-8.814037323E0,-3.525924921E0,3.669631958E0,1.017770108E1
1.055042780E-1,1.992199942E-2,5.714900047E-2,1.749520004E-1,1.851245439E-1
1.104266320E-1,4.427900165E-2,-1.533299964E-2,1.398659945E-1,1.475067025E-1
1.153490910E-1,5.172400177E-2,-1.024670005E-1,6.463500112E-2,1.317290474E-1
1.202715530E-1,6.142200157E-2,-1.967860013E-1,-6.200000062E-4,2.061498896E-1
1.251937810E-1,7.574100047E-2,-2.914760113E-1,-1.179590002E-1,3.234335945E-1
1.301161630E-1,9.462399781E-2,-3.723919988E-1,-2.274090052E-1,4.464799630E-1
1.350386290E-1,5.218299851E-2,-4.297049940E-1,-2.765969932E-1,5.136879829E-1
1.399608620E-1,-1.755099930E-2,-4.093869925E-1,-3.009630144E-1,5.084136930E-1
1.448833210E-1,-6.730800122E-2,-4.371820092E-1,-3.201789856E-1,5.460522494E-1
1.498058070E-1,-1.048649997E-1,-4.560529888E-1,-3.913919926E-1,6.100562995E-1
1.547282680E-1,-1.261290014E-1,-4.945240021E-1,-4.882650077E-1,7.063039228E-1
1.596507300E-1,-1.460600048E-1,-5.232499838E-1,-5.977749825E-1,8.077493424E-1
1.645731450E-1,-2.403690070E-1,-5.526700020E-1,-7.567690015E-1,9.674299521E-1
1.694956050E-1,-3.039860129E-1,-5.711420178E-1,-9.003729820E-1,1.108729998E0
1.744180660E-1,-3.084219992E-1,-6.427869797E-1,-1.007264018E0,1.234050255E0
1.793403140E-1,-2.729069889E-1,-7.198730111E-1,-1.096469045E0,1.339753613E0
1.842627740E-1,-2.661379874E-1,-7.971249819E-1,-1.079761982E0,1.368255679E0
