"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.130260800E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
2.622499300E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
3.114723700E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
3.606962000E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
4.099185300E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
4.591398800E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
5.083644700E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
5.575883200E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
6.068099300E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
6.560345200E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
7.052568500E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
7.544813500E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
8.037052100E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
8.529242000E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
9.021480300E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
9.513725400E-2,4.629299939E-1,1.878270060E-1,-2.031790018E-1,5.393188947E-1
1.000594100E-1,-1.344719976E-1,1.119935989E0,-1.464579999E-1,1.137448585E0
1.049816220E-1,1.698189974E-1,1.058604002E0,-9.510000050E-2,1.076347962E0
1.099040050E-1,4.610809982E-1,9.927409887E-1,-9.097199887E-2,1.098365268E0
1.148262380E-1,6.886640191E-1,1.090057969E0,-3.579640090E-1,1.338141524E0
1.197485860E-1,9.707000256E-1,9.146760106E-1,-5.173580050E-1,1.430576824E0
1.246710480E-1,1.138424039E0,7.378420234E-1,-9.609299898E-1,1.662470027E0
1.295932800E-1,1.235383034E0,5.760400295E-1,-1.439254999E0,1.982283609E0
1.345156630E-1,1.281152010E0,3.881630003E-1,-1.844784975E0,2.279309674E0
1.394378960E-1,1.359424949E0,1.613930017E-1,-2.047050953E0,2.462620859E0
