"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.329923300E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
2.822139200E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
3.314377500E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
3.806600700E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
4.298840900E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
4.791056500E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
5.283279400E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
5.775515400E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
6.267738700E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
6.759984700E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
7.252198800E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
7.744437000E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
8.236660300E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
8.728894700E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
9.221117900E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
9.713356200E-2,8.428919911E-1,1.453589946E-1,1.828691006E0,2.018838017E0
1.020558100E-1,4.685429931E-1,2.796968937E0,-4.375970066E-1,2.869504994E0
1.069779640E-1,6.182129979E-1,2.996541023E0,-2.795100026E-2,3.059775592E0
1.119003460E-1,7.695940137E-1,3.199055910E0,1.868669987E-1,3.295626335E0
1.168225640E-1,1.165915012E0,3.215357065E0,6.944779754E-1,3.490011251E0
1.217449470E-1,1.454534054E0,3.110948086E0,1.015202045E0,3.581103531E0
1.266671790E-1,1.629897952E0,3.087795973E0,9.375420213E-1,3.615250523E0
1.315895430E-1,1.705283046E0,3.270236969E0,5.350800157E-1,3.726761426E0
1.365117760E-1,1.748347044E0,3.491705894E0,1.685079932E-1,3.908595961E0
1.414341580E-1,1.837142944E0,3.645787954E0,-1.767099947E-1,4.086329701E0
1.463562660E-1,2.223666906E0,3.638509989E0,-6.004920006E-1,4.306279147E0
1.512784950E-1,2.828543901E0,3.294398069E0,-4.370560050E-1,4.364027634E0
1.562008470E-1,3.123302937E0,2.757278919E0,3.976530135E-1,4.185180545E0
1.611230790E-1,3.296051025E0,2.186172962E0,1.436810017E0,4.208055086E0
1.660454620E-1,3.392235041E0,1.562630057E0,2.170198917E0,4.319587319E0
