"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.410649900E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
2.902872000E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
3.395079700E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
3.887295100E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
4.379510400E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
4.871725800E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
5.363938300E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
5.856153700E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
6.348369000E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
6.840583400E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
7.332806400E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
7.825022000E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
8.317232500E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
8.809470700E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
9.301686300E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
9.793896400E-2,2.761811972E0,2.388900995E0,2.837626934E0,4.624562676E0
1.028611180E-1,1.243589997E0,-2.526560128E-1,-5.885310173E-1,1.398828045E0
1.077832150E-1,2.538639069E0,6.281489730E-1,-1.918974042E0,3.243720214E0
1.127054440E-1,3.880772114E0,1.473538995E0,-3.232652903E0,5.261345280E0
1.176276000E-1,4.644925117E0,2.585131884E0,-4.492837906E0,6.960160102E0
1.225497040E-1,4.710844994E0,3.221906900E0,-4.843996048E0,7.485789360E0
1.274719330E-1,4.069551945E0,3.087424040E0,-5.245748043E0,7.321974649E0
1.323940120E-1,4.230511189E0,3.248665094E0,-5.343027115E0,7.549767451E0
1.373162320E-1,5.059941769E0,3.243504047E0,-5.082673073E0,7.871270213E0
1.422383880E-1,5.627346039E0,3.687874079E0,-4.631387234E0,8.168058911E0
1.471605370E-1,5.960580826E0,3.459244013E0,-4.096646786E0,8.017319241E0
1.520829190E-1,5.870941162E0,3.572813988E0,-4.105903149E0,8.005709874E0
1.570050750E-1,6.175893784E0,3.790931940E0,-4.714629173E0,8.645262127E0
1.619272000E-1,7.593712807E0,3.660538912E0,-6.041934013E0,1.037154694E1
1.668493540E-1,8.748979568E0,4.050490856E0,-6.318075180E0,1.152689002E1
1.717712770E-1,9.000592232E0,4.111206055E0,-5.582888126E0,1.136139585E1
1.766936600E-1,9.336010933E0,3.996064901E0,-4.129148006E0,1.096264102E1
1.816157700E-1,9.689070702E0,3.983511925E0,-2.460742950E0,1.076112049E1
1.865379990E-1,9.886136055E0,4.000084877E0,-7.728130221E-1,1.069268933E1
1.914600450E-1,1.010480690E1,3.780706882E0,-1.220149994E-1,1.078961328E1
1.963821970E-1,1.031732655E1,3.742008924E0,-3.586379886E-1,1.098082324E1
2.013043510E-1,1.034240723E1,4.099103928E0,-1.125635982E0,1.118190935E1
2.062265620E-1,9.140855789E0,5.245711803E0,-1.900792003E0,1.070914316E1
2.111487180E-1,9.049438477E0,6.155899048E0,-2.033574104E0,1.113206421E1
2.160708620E-1,1.005365562E1,6.520683765E0,-9.574090242E-1,1.202131192E1
2.209932450E-1,1.025695229E1,7.337228775E0,-1.114953041E0,1.266029686E1
2.259154010E-1,1.053486633E1,7.523752213E0,-2.874234915E0,1.326090051E1
2.308375400E-1,1.193467617E1,6.752007961E0,-7.295704842E0,1.553233453E1
2.357594630E-1,1.335036755E1,6.146331787E0,-1.445264053E1,2.061282432E1
2.406816010E-1,1.364084625E1,6.043456078E0,-1.995317268E1,2.491435626E1
2.456039850E-1,1.253001213E1,5.516048908E0,-2.003681183E1,2.426729956E1
2.505261410E-1,1.058256435E1,5.318181992E0,-1.362679291E1,1.805445133E1
2.554482950E-1,8.411474228E0,4.297327042E0,-1.135958672E1,1.477362950E1
2.603704490E-1,5.987347126E0,3.421401024E0,-1.131625843E1,1.325186838E1
2.652926780E-1,4.463326931E0,2.364742041E0,-7.182973862E0,8.781139203E0
2.702147570E-1,3.574495077E0,1.059944034E0,-5.702353954E0,6.813027009E0
2.751369850E-1,4.697147846E0,-4.354400039E-1,-8.899450302E0,1.007238907E1
2.800591550E-1,4.734124184E0,-1.565189958E-1,-1.132186794E1,1.227277979E1
2.849813090E-1,6.539009094E0,7.593899965E-2,-1.179732895E1,1.348856468E1
2.899036920E-1,7.369194984E0,2.385849953E-1,-9.643815994E0,1.213940462E1
2.948258670E-1,7.120673180E0,5.287349820E-1,-7.143289089E0,1.010000625E1
2.997477900E-1,6.157616138E0,5.919610262E-1,-5.640544891E0,8.371523221E0
3.046702010E-1,5.182582855E0,2.112720013E-1,-4.486433029E0,6.857979457E0
3.095921260E-1,4.273614883E0,-1.821420044E-1,-4.243200779E0,6.025090268E0
3.145142640E-1,3.645126104E0,-4.605439901E-1,-3.309395075E0,4.944809485E0
3.194366490E-1,3.247406006E0,-6.154739857E-1,-1.884770989E0,3.804841084E0
3.243588050E-1,2.812602043E0,-6.468309760E-1,-1.853259951E-1,2.891965817E0
3.292809590E-1,2.251972914E0,-6.340860128E-1,2.725362062E0,3.591802535E0
3.342031120E-1,1.551344037E0,-3.603459895E-1,5.033739090E0,5.279682451E0
3.391252800E-1,1.177587032E0,-4.417259991E-1,5.525134087E0,5.666475073E0
3.440475090E-1,1.130493045E0,-8.154659867E-1,4.899589062E0,5.094013376E0
3.489696650E-1,7.088999748E-1,-1.075517058E0,3.638526917E0,3.859812721E0
3.538918140E-1,-1.117699966E-2,-1.442563057E0,2.504585028E0,2.890338952E0
3.588139680E-1,1.831043959E0,-2.542572021E0,3.906567097E0,5.007859917E0
3.637361220E-1,2.800209999E0,-2.701612949E0,4.499173164E0,5.948314697E0
3.686582800E-1,2.751099110E0,-2.477041960E0,3.691652060E0,5.228056820E0
3.735804340E-1,2.481822014E0,-1.541345954E0,2.055115938E0,3.571930763E0
3.785025930E-1,2.584157944E0,-3.101519942E-1,-4.428890049E-1,2.640116893E0
3.834247470E-1,2.501729012E0,9.939389825E-1,-1.290632010E0,2.985346501E0
3.883471300E-1,2.145884037E0,1.860553980E0,-7.498649955E-1,2.937477987E0
3.932692850E-1,1.828184962E0,2.486535072E0,-2.300055981E0,3.849074491E0
3.981914390E-1,1.407091975E0,2.784305096E0,-2.531829119E0,4.017763231E0
